행정구역,연도,월,연령대,인구수
전라북도,2015,1,80~89세,65122
전라남도,2015,1,80~89세,77248
경상북도,2015,1,80~89세,93391
경상남도,2015,1,80~89세,87125
제주특별자치도,2015,1,80~89세,15914
서울특별시,2015,1,90~99세,28570
부산광역시,2015,1,90~99세,8856
대구광역시,2015,1,90~99세,5656
인천광역시,2015,1,90~99세,7517
광주광역시,2015,1,90~99세,3677
대전광역시,2015,1,90~99세,3715
울산광역시,2015,1,90~99세,1920
세종특별자치시,2015,1,90~99세,571
경기도,2015,1,90~99세,30662
강원도,2015,1,90~99세,7069
충청북도,2015,1,90~99세,5591
충청남도,2015,1,90~99세,8894
전라북도,2015,1,90~99세,8538
전라남도,2015,1,90~99세,10582
경상북도,2015,1,90~99세,11836
경상남도,2015,1,90~99세,9905
제주특별자치도,2015,1,90~99세,3112
서울특별시,2015,1,100세 이상,4724
부산광역시,2015,1,100세 이상,1415
대구광역시,2015,1,100세 이상,511
인천광역시,2015,1,100세 이상,631
광주광역시,2015,1,100세 이상,307
대전광역시,2015,1,100세 이상,262
울산광역시,2015,1,100세 이상,131
세종특별자치시,2015,1,100세 이상,33
경기도,2015,1,100세 이상,2796
강원도,2015,1,100세 이상,560
충청북도,2015,1,100세 이상,401
충청남도,2015,1,100세 이상,626
전라북도,2015,1,100세 이상,605
전라남도,2015,1,100세 이상,711
경상북도,2015,1,100세 이상,703
경상남도,2015,1,100세 이상,561
제주특별자치도,2015,1,100세 이상,203
서울특별시,2015,2,0~9세,791057
부산광역시,2015,2,0~9세,264053
대구광역시,2015,2,0~9세,208311
인천광역시,2015,2,0~9세,270207
광주광역시,2015,2,0~9세,144900
대전광역시,2015,2,0~9세,147691
울산광역시,2015,2,0~9세,115108
세종특별자치시,2015,2,0~9세,22394
경기도,2015,2,0~9세,1242881
강원도,2015,2,0~9세,123987
충청북도,2015,2,0~9세,142349
충청남도,2015,2,0~9세,195945
전라북도,2015,2,0~9세,160856
전라남도,2015,2,0~9세,157045
경상북도,2015,2,0~9세,222384
경상남도,2015,2,0~9세,316314
제주특별자치도,2015,2,0~9세,61958
서울특별시,2015,2,10~19세,1034669
부산광역시,2015,2,10~19세,363407
대구광역시,2015,2,10~19세,303672
인천광역시,2015,2,10~19세,336641
광주광역시,2015,2,10~19세,205598
대전광역시,2015,2,10~19세,193874
울산광역시,2015,2,10~19세,146342
세종특별자치시,2015,2,10~19세,19348
경기도,2015,2,10~19세,1521377
강원도,2015,2,10~19세,176905
충청북도,2015,2,10~19세,186827
충청남도,2015,2,10~19세,235269
전라북도,2015,2,10~19세,226373
전라남도,2015,2,10~19세,218185
경상북도,2015,2,10~19세,288232
경상남도,2015,2,10~19세,398908
제주특별자치도,2015,2,10~19세,78847
서울특별시,2015,2,20~29세,1453481
부산광역시,2015,2,20~29세,454757
대구광역시,2015,2,20~29세,323686
인천광역시,2015,2,20~29세,397988
광주광역시,2015,2,20~29세,197565
대전광역시,2015,2,20~29세,209572
울산광역시,2015,2,20~29세,156132
세종특별자치시,2015,2,20~29세,18424
경기도,2015,2,20~29세,1607345
강원도,2015,2,20~29세,181364
충청북도,2015,2,20~29세,193173
충청남도,2015,2,20~29세,240630
전라북도,2015,2,20~29세,216520
전라남도,2015,2,20~29세,202719
경상북도,2015,2,20~29세,310457
경상남도,2015,2,20~29세,390403
제주특별자치도,2015,2,20~29세,71152
서울특별시,2015,2,30~39세,1711170
부산광역시,2015,2,30~39세,502301
대구광역시,2015,2,30~39세,351262
인천광역시,2015,2,30~39세,460088
광주광역시,2015,2,30~39세,227470
대전광역시,2015,2,30~39세,236370
울산광역시,2015,2,30~39세,182247
세종특별자치시,2015,2,30~39세,30664
경기도,2015,2,30~39세,1986461
강원도,2015,2,30~39세,193232
충청북도,2015,2,30~39세,219903
충청남도,2015,2,30~39세,300527
전라북도,2015,2,30~39세,238607
전라남도,2015,2,30~39세,227467
경상북도,2015,2,30~39세,354025
경상남도,2015,2,30~39세,484902
제주특별자치도,2015,2,30~39세,84913
서울특별시,2015,2,40~49세,1730984
부산광역시,2015,2,40~49세,576597
대구광역시,2015,2,40~49세,445688
인천광역시,2015,2,40~49세,521207
광주광역시,2015,2,40~49세,261097
대전광역시,2015,2,40~49세,271111
울산광역시,2015,2,40~49세,215991
세종특별자치시,2015,2,40~49세,29806
경기도,2015,2,40~49세,2306387
강원도,2015,2,40~49세,252643
충청북도,2015,2,40~49세,265312
충청남도,2015,2,40~49세,333627
전라북도,2015,2,40~49세,303349
전라남도,2015,2,40~49세,296337
경상북도,2015,2,40~49세,434181
경상남도,2015,2,40~49세,585706
제주특별자치도,2015,2,40~49세,108563
서울특별시,2015,2,50~59세,1602445
부산광역시,2015,2,50~59세,627664
대구광역시,2015,2,50~59세,415982
인천광역시,2015,2,50~59세,484585
광주광역시,2015,2,50~59세,213467
대전광역시,2015,2,50~59세,238014
울산광역시,2015,2,50~59세,196906
세종특별자치시,2015,2,50~59세,21653
경기도,2015,2,50~59세,1906769
강원도,2015,2,50~59세,267242
충청북도,2015,2,50~59세,255991
충청남도,2015,2,50~59세,314953
전라북도,2015,2,50~59세,292951
전라남도,2015,2,50~59세,304139
경상북도,2015,2,50~59세,451475
경상남도,2015,2,50~59세,543718
제주특별자치도,2015,2,50~59세,92464
서울특별시,2015,2,60~69세,993936
부산광역시,2015,2,60~69세,407571
대구광역시,2015,2,60~69세,239124
인천광역시,2015,2,60~69세,237504
광주광역시,2015,2,60~69세,121287
대전광역시,2015,2,60~69세,126375
울산광역시,2015,2,60~69세,92348
세종특별자치시,2015,2,60~69세,12874
경기도,2015,2,60~69세,954087
강원도,2015,2,60~69세,162725
충청북도,2015,2,60~69세,148816
충청남도,2015,2,60~69세,199427
전라북도,2015,2,60~69세,200547
전라남도,2015,2,60~69세,216173
경상북도,2015,2,60~69세,296475
경상남도,2015,2,60~69세,314255
제주특별자치도,2015,2,60~69세,53887
서울특별시,2015,2,70~79세,572819
부산광역시,2015,2,70~79세,236932
대구광역시,2015,2,70~79세,148892
인천광역시,2015,2,70~79세,139282
광주광역시,2015,2,70~79세,75228
대전광역시,2015,2,70~79세,75220
울산광역시,2015,2,70~79세,45099
세종특별자치시,2015,2,70~79세,9787
경기도,2015,2,70~79세,602423
강원도,2015,2,70~79세,130447
충청북도,2015,2,70~79세,115236
충청남도,2015,2,70~79세,163042
전라북도,2015,2,70~79세,156577
전라남도,2015,2,70~79세,191666
경상북도,2015,2,70~79세,234211
경상남도,2015,2,70~79세,218404
제주특별자치도,2015,2,70~79세,38472
서울특별시,2015,2,80~89세,181044
부산광역시,2015,2,80~89세,74266
대구광역시,2015,2,80~89세,49740
인천광역시,2015,2,80~89세,50872
광주광역시,2015,2,80~89세,26729
대전광역시,2015,2,80~89세,27199
울산광역시,2015,2,80~89세,15136
세종특별자치시,2015,2,80~89세,4206
경기도,2015,2,80~89세,215404
강원도,2015,2,80~89세,46666
충청북도,2015,2,80~89세,44617
충청남도,2015,2,80~89세,69895
전라북도,2015,2,80~89세,65770
전라남도,2015,2,80~89세,78147
경상북도,2015,2,80~89세,94313
경상남도,2015,2,80~89세,87894
제주특별자치도,2015,2,80~89세,16035
서울특별시,2015,2,90~99세,28829
부산광역시,2015,2,90~99세,8966
대구광역시,2015,2,90~99세,5712
인천광역시,2015,2,90~99세,7593
광주광역시,2015,2,90~99세,3691
대전광역시,2015,2,90~99세,3744
울산광역시,2015,2,90~99세,1949
세종특별자치시,2015,2,90~99세,575
경기도,2015,2,90~99세,30989
강원도,2015,2,90~99세,7136
충청북도,2015,2,90~99세,5629
충청남도,2015,2,90~99세,8983
전라북도,2015,2,90~99세,8572
전라남도,2015,2,90~99세,10624
경상북도,2015,2,90~99세,12017
경상남도,2015,2,90~99세,10070
제주특별자치도,2015,2,90~99세,3121
서울특별시,2015,2,100세 이상,4772
부산광역시,2015,2,100세 이상,1425
대구광역시,2015,2,100세 이상,514
인천광역시,2015,2,100세 이상,636
광주광역시,2015,2,100세 이상,308
대전광역시,2015,2,100세 이상,261
울산광역시,2015,2,100세 이상,127
세종특별자치시,2015,2,100세 이상,31
경기도,2015,2,100세 이상,2821
강원도,2015,2,100세 이상,571
충청북도,2015,2,100세 이상,400
충청남도,2015,2,100세 이상,626
전라북도,2015,2,100세 이상,606
전라남도,2015,2,100세 이상,718
경상북도,2015,2,100세 이상,699
경상남도,2015,2,100세 이상,563
제주특별자치도,2015,2,100세 이상,200
서울특별시,2015,3,0~9세,789870
부산광역시,2015,3,0~9세,264229
대구광역시,2015,3,0~9세,208329
인천광역시,2015,3,0~9세,270332
광주광역시,2015,3,0~9세,144747
대전광역시,2015,3,0~9세,147297
울산광역시,2015,3,0~9세,115334
세종특별자치시,2015,3,0~9세,23377
경기도,2015,3,0~9세,1243606
강원도,2015,3,0~9세,123880
충청북도,2015,3,0~9세,142255
충청남도,2015,3,0~9세,196157
전라북도,2015,3,0~9세,160720
전라남도,2015,3,0~9세,156979
경상북도,2015,3,0~9세,222441
경상남도,2015,3,0~9세,316611
제주특별자치도,2015,3,0~9세,62058
서울특별시,2015,3,10~19세,1029856
부산광역시,2015,3,10~19세,361392
대구광역시,2015,3,10~19세,302079
인천광역시,2015,3,10~19세,335006
광주광역시,2015,3,10~19세,204827
대전광역시,2015,3,10~19세,192868
울산광역시,2015,3,10~19세,145465
세종특별자치시,2015,3,10~19세,19873
경기도,2015,3,10~19세,1516717
강원도,2015,3,10~19세,176706
충청북도,2015,3,10~19세,186136
충청남도,2015,3,10~19세,234463
전라북도,2015,3,10~19세,225326
전라남도,2015,3,10~19세,217295
경상북도,2015,3,10~19세,286643
경상남도,2015,3,10~19세,397052
제주특별자치도,2015,3,10~19세,78776
서울특별시,2015,3,20~29세,1458262
부산광역시,2015,3,20~29세,455084
대구광역시,2015,3,20~29세,324033
인천광역시,2015,3,20~29세,398993
광주광역시,2015,3,20~29세,197903
대전광역시,2015,3,20~29세,210171
울산광역시,2015,3,20~29세,156566
세종특별자치시,2015,3,20~29세,18983
경기도,2015,3,20~29세,1614095
강원도,2015,3,20~29세,181565
충청북도,2015,3,20~29세,193698
충청남도,2015,3,20~29세,240944
전라북도,2015,3,20~29세,216791
전라남도,2015,3,20~29세,202740
경상북도,2015,3,20~29세,310308
경상남도,2015,3,20~29세,391075
제주특별자치도,2015,3,20~29세,71221
서울특별시,2015,3,30~39세,1704082
부산광역시,2015,3,30~39세,500498
대구광역시,2015,3,30~39세,349943
인천광역시,2015,3,30~39세,459018
광주광역시,2015,3,30~39세,226778
대전광역시,2015,3,30~39세,235106
울산광역시,2015,3,30~39세,182052
세종특별자치시,2015,3,30~39세,31827
경기도,2015,3,30~39세,1981395
강원도,2015,3,30~39세,192408
충청북도,2015,3,30~39세,219058
충청남도,2015,3,30~39세,299929
전라북도,2015,3,30~39세,237526
전라남도,2015,3,30~39세,226734
경상북도,2015,3,30~39세,352709
경상남도,2015,3,30~39세,483896
제주특별자치도,2015,3,30~39세,84993
서울특별시,2015,3,40~49세,1726866
부산광역시,2015,3,40~49세,574632
대구광역시,2015,3,40~49세,444326
인천광역시,2015,3,40~49세,520050
광주광역시,2015,3,40~49세,261031
대전광역시,2015,3,40~49세,270227
울산광역시,2015,3,40~49세,215495
세종특별자치시,2015,3,40~49세,30718
경기도,2015,3,40~49세,2303817
강원도,2015,3,40~49세,252022
충청북도,2015,3,40~49세,264590
충청남도,2015,3,40~49세,332725
전라북도,2015,3,40~49세,302813
전라남도,2015,3,40~49세,295751
경상북도,2015,3,40~49세,432734
경상남도,2015,3,40~49세,583996
제주특별자치도,2015,3,40~49세,108856
서울특별시,2015,3,50~59세,1596751
부산광역시,2015,3,50~59세,625139
대구광역시,2015,3,50~59세,415904
인천광역시,2015,3,50~59세,484735
광주광역시,2015,3,50~59세,213300
대전광역시,2015,3,50~59세,237672
울산광역시,2015,3,50~59세,197305
세종특별자치시,2015,3,50~59세,22165
경기도,2015,3,50~59세,1909421
강원도,2015,3,50~59세,266654
충청북도,2015,3,50~59세,256068
충청남도,2015,3,50~59세,315254
전라북도,2015,3,50~59세,292360
전라남도,2015,3,50~59세,303456
경상북도,2015,3,50~59세,451004
경상남도,2015,3,50~59세,544353
제주특별자치도,2015,3,50~59세,92436
서울특별시,2015,3,60~69세,1004442
부산광역시,2015,3,60~69세,411945
대구광역시,2015,3,60~69세,241642
인천광역시,2015,3,60~69세,240989
광주광역시,2015,3,60~69세,122558
대전광역시,2015,3,60~69세,127903
울산광역시,2015,3,60~69세,93806
세종특별자치시,2015,3,60~69세,13230
경기도,2015,3,60~69세,967322
강원도,2015,3,60~69세,164439
충청북도,2015,3,60~69세,150592
충청남도,2015,3,60~69세,201663
전라북도,2015,3,60~69세,202587
전라남도,2015,3,60~69세,217700
경상북도,2015,3,60~69세,299427
경상남도,2015,3,60~69세,318068
제주특별자치도,2015,3,60~69세,54651
서울특별시,2015,3,70~79세,574545
부산광역시,2015,3,70~79세,237621
대구광역시,2015,3,70~79세,149164
인천광역시,2015,3,70~79세,139766
광주광역시,2015,3,70~79세,75375
대전광역시,2015,3,70~79세,75355
울산광역시,2015,3,70~79세,45332
세종특별자치시,2015,3,70~79세,9873
경기도,2015,3,70~79세,604478
강원도,2015,3,70~79세,130728
충청북도,2015,3,70~79세,115201
충청남도,2015,3,70~79세,162839
전라북도,2015,3,70~79세,156331
전라남도,2015,3,70~79세,191423
경상북도,2015,3,70~79세,234085
경상남도,2015,3,70~79세,218619
제주특별자치도,2015,3,70~79세,38578
서울특별시,2015,3,80~89세,182603
부산광역시,2015,3,80~89세,74845
대구광역시,2015,3,80~89세,50233
인천광역시,2015,3,80~89세,51267
광주광역시,2015,3,80~89세,26968
대전광역시,2015,3,80~89세,27486
울산광역시,2015,3,80~89세,15257
세종특별자치시,2015,3,80~89세,4262
경기도,2015,3,80~89세,217411
강원도,2015,3,80~89세,47031
충청북도,2015,3,80~89세,45096
충청남도,2015,3,80~89세,70593
전라북도,2015,3,80~89세,66335
전라남도,2015,3,80~89세,78825
경상북도,2015,3,80~89세,95181
경상남도,2015,3,80~89세,88422
제주특별자치도,2015,3,80~89세,16168
서울특별시,2015,3,90~99세,28905
