행정구역,연도,월,연령대,인구수
전라북도,2018,07,80~89세,81924
전라남도,2018,07,80~89세,97293
경상북도,2018,07,80~89세,117752
경상남도,2018,07,80~89세,108768
제주특별자치도,2018,07,80~89세,20846
서울특별시,2018,07,90~99세,35053
부산광역시,2018,07,90~99세,12239
대구광역시,2018,07,90~99세,7490
인천광역시,2018,07,90~99세,9762
광주광역시,2018,07,90~99세,4660
대전광역시,2018,07,90~99세,4816
울산광역시,2018,07,90~99세,2530
세종특별자치시,2018,07,90~99세,841
경기도,2018,07,90~99세,40746
강원도,2018,07,90~99세,9110
충청북도,2018,07,90~99세,7304
충청남도,2018,07,90~99세,11507
전라북도,2018,07,90~99세,11001
전라남도,2018,07,90~99세,12647
경상북도,2018,07,90~99세,15397
경상남도,2018,07,90~99세,13402
제주특별자치도,2018,07,90~99세,3264
서울특별시,2018,07,100세 이상,5728
부산광역시,2018,07,100세 이상,1636
대구광역시,2018,07,100세 이상,612
인천광역시,2018,07,100세 이상,826
광주광역시,2018,07,100세 이상,360
대전광역시,2018,07,100세 이상,314
울산광역시,2018,07,100세 이상,155
세종특별자치시,2018,07,100세 이상,52
경기도,2018,07,100세 이상,3509
강원도,2018,07,100세 이상,704
충청북도,2018,07,100세 이상,499
충청남도,2018,07,100세 이상,773
전라북도,2018,07,100세 이상,723
전라남도,2018,07,100세 이상,782
경상북도,2018,07,100세 이상,832
경상남도,2018,07,100세 이상,670
제주특별자치도,2018,07,100세 이상,245
서울특별시,2018,08,0~9세,702114
부산광역시,2018,08,0~9세,254328
대구광역시,2018,08,0~9세,197276
인천광역시,2018,08,0~9세,254441
광주광역시,2018,08,0~9세,132753
대전광역시,2018,08,0~9세,130694
울산광역시,2018,08,0~9세,109828
세종특별자치시,2018,08,0~9세,43719
경기도,2018,08,0~9세,1216536
강원도,2018,08,0~9세,114018
충청북도,2018,08,0~9세,134730
충청남도,2018,08,0~9세,190948
전라북도,2018,08,0~9세,146160
전라남도,2018,08,0~9세,147139
경상북도,2018,08,0~9세,210167
경상남도,2018,08,0~9세,300882
제주특별자치도,2018,08,0~9세,64271
서울특별시,2018,08,10~19세,868026
부산광역시,2018,08,10~19세,300197
대구광역시,2018,08,10~19세,253014
인천광역시,2018,08,10~19세,295033
광주광역시,2018,08,10~19세,174247
대전광역시,2018,08,10~19세,162621
울산광역시,2018,08,10~19세,122726
세종특별자치시,2018,08,10~19세,35543
경기도,2018,08,10~19세,1396665
강원도,2018,08,10~19세,152155
충청북도,2018,08,10~19세,161580
충청남도,2018,08,10~19세,215132
전라북도,2018,08,10~19세,193311
전라남도,2018,08,10~19세,185780
경상북도,2018,08,10~19세,247233
경상남도,2018,08,10~19세,348744
제주특별자치도,2018,08,10~19세,74100
서울특별시,2018,08,20~29세,1454740
부산광역시,2018,08,20~29세,448299
대구광역시,2018,08,20~29세,332880
인천광역시,2018,08,20~29세,410707
광주광역시,2018,08,20~29세,205769
대전광역시,2018,08,20~29세,214621
울산광역시,2018,08,20~29세,154749
세종특별자치시,2018,08,20~29세,32913
경기도,2018,08,20~29세,1742573
강원도,2018,08,20~29세,182979
