행정구역,연도,월,연령대,인구수
서울특별시,2011,07,0~9세,844314
부산광역시,2011,07,0~9세,267278
대구광역시,2011,07,0~9세,218197
인천광역시,2011,07,0~9세,263413
광주광역시,2011,07,0~9세,152283
대전광역시,2011,07,0~9세,152424
울산광역시,2011,07,0~9세,112732
경기도,2011,07,0~9세,1258566
강원도,2011,07,0~9세,133054
충청북도,2011,07,0~9세,147324
충청남도,2011,07,0~9세,203683
전라북도,2011,07,0~9세,169280
전라남도,2011,07,0~9세,164411
경상북도,2011,07,0~9세,229246
경상남도,2011,07,0~9세,321463
제주특별자치도,2011,07,0~9세,60572
서울특별시,2011,07,10~19세,1224089
부산광역시,2011,07,10~19세,438432
대구광역시,2011,07,10~19세,356751
인천광역시,2011,07,10~19세,386214
광주광역시,2011,07,10~19세,232204
대전광역시,2011,07,10~19세,219957
울산광역시,2011,07,10~19세,171995
경기도,2011,07,10~19세,1674813
강원도,2011,07,10~19세,199521
충청북도,2011,07,10~19세,211609
충청남도,2011,07,10~19세,268539
전라북도,2011,07,10~19세,255978
전라남도,2011,07,10~19세,249571
경상북도,2011,07,10~19세,331879
경상남도,2011,07,10~19세,452368
제주특별자치도,2011,07,10~19세,84610
서울특별시,2011,07,20~29세,1551550
부산광역시,2011,07,20~29세,487886
대구광역시,2011,07,20~29세,335283
인천광역시,2011,07,20~29세,388168
광주광역시,2011,07,20~29세,202743
대전광역시,2011,07,20~29세,212787
울산광역시,2011,07,20~29세,151649
경기도,2011,07,20~29세,1557317
강원도,2011,07,20~29세,183963
충청북도,2011,07,20~29세,198744
충청남도,2011,07,20~29세,257937
전라북도,2011,07,20~29세,227118
전라남도,2011,07,20~29세,211789
경상북도,2011,07,20~29세,329725
경상남도,2011,07,20~29세,403853
제주특별자치도,2011,07,20~29세,67727
서울특별시,2011,07,30~39세,1848575
부산광역시,2011,07,30~39세,539754
대구광역시,2011,07,30~39세,390127
인천광역시,2011,07,30~39세,465563
광주광역시,2011,07,30~39세,242743
대전광역시,2011,07,30~39세,253594
울산광역시,2011,07,30~39세,185961
경기도,2011,07,30~39세,2096151
강원도,2011,07,30~39세,214547
충청북도,2011,07,30~39세,233801
충청남도,2011,07,30~39세,320528
전라북도,2011,07,30~39세,263796
전라남도,2011,07,30~39세,248065
경상북도,2011,07,30~39세,384422
경상남도,2011,07,30~39세,520903
제주특별자치도,2011,07,30~39세,87199
서울특별시,2011,07,40~49세,1740573
부산광역시,2011,07,40~49세,598286
대구광역시,2011,07,40~49세,454719
인천광역시,2011,07,40~49세,516668
광주광역시,2011,07,40~49세,250000
대전광역시,2011,07,40~49세,265208
울산광역시,2011,07,40~49세,217856
경기도,2011,07,40~49세,2206868
강원도,2011,07,40~49세,254413
충청북도,2011,07,40~49세,260983
충청남도,2011,07,40~49세,332783
전라북도,2011,07,40~49세,296770
전라남도,2011,07,40~49세,299221
경상북도,2011,07,40~49세,436940
경상남도,2011,07,40~49세,572369
제주특별자치도,2011,07,40~49세,100629
서울특별시,2011,07,50~59세,1545556
부산광역시,2011,07,50~59세,616118
대구광역시,2011,07,50~59세,380751
인천광역시,2011,07,50~59세,407683
광주광역시,2011,07,50~59세,186705
대전광역시,2011,07,50~59세,212948
울산광역시,2011,07,50~59세,169128
경기도,2011,07,50~59세,1593700
강원도,2011,07,50~59세,245073
충청북도,2011,07,50~59세,229508
충청남도,2011,07,50~59세,292507
전라북도,2011,07,50~59세,268209
