"행정구역","2015년01월_계_총인구수","2015년01월_계_연령구간인구수","2015년01월_계_0~9세","2015년01월_계_10~19세","2015년01월_계_20~29세","2015년01월_계_30~39세","2015년01월_계_40~49세","2015년01월_계_50~59세","2015년01월_계_60~69세","2015년01월_계_70~79세","2015년01월_계_80~89세","2015년01월_계_90~99세","2015년01월_계_100세 이상","2015년02월_계_총인구수","2015년02월_계_연령구간인구수","2015년02월_계_0~9세","2015년02월_계_10~19세","2015년02월_계_20~29세","2015년02월_계_30~39세","2015년02월_계_40~49세","2015년02월_계_50~59세","2015년02월_계_60~69세","2015년02월_계_70~79세","2015년02월_계_80~89세","2015년02월_계_90~99세","2015년02월_계_100세 이상","2015년03월_계_총인구수","2015년03월_계_연령구간인구수","2015년03월_계_0~9세","2015년03월_계_10~19세","2015년03월_계_20~29세","2015년03월_계_30~39세","2015년03월_계_40~49세","2015년03월_계_50~59세","2015년03월_계_60~69세","2015년03월_계_70~79세","2015년03월_계_80~89세","2015년03월_계_90~99세","2015년03월_계_100세 이상","2015년04월_계_총인구수","2015년04월_계_연령구간인구수","2015년04월_계_0~9세","2015년04월_계_10~19세","2015년04월_계_20~29세","2015년04월_계_30~39세","2015년04월_계_40~49세","2015년04월_계_50~59세","2015년04월_계_60~69세","2015년04월_계_70~79세","2015년04월_계_80~89세","2015년04월_계_90~99세","2015년04월_계_100세 이상","2015년05월_계_총인구수","2015년05월_계_연령구간인구수","2015년05월_계_0~9세","2015년05월_계_10~19세","2015년05월_계_20~29세","2015년05월_계_30~39세","2015년05월_계_40~49세","2015년05월_계_50~59세","2015년05월_계_60~69세","2015년05월_계_70~79세","2015년05월_계_80~89세","2015년05월_계_90~99세","2015년05월_계_100세 이상","2015년06월_계_총인구수","2015년06월_계_연령구간인구수","2015년06월_계_0~9세","2015년06월_계_10~19세","2015년06월_계_20~29세","2015년06월_계_30~39세","2015년06월_계_40~49세","2015년06월_계_50~59세","2015년06월_계_60~69세","2015년06월_계_70~79세","2015년06월_계_80~89세","2015년06월_계_90~99세","2015년06월_계_100세 이상"
"전국  (0000000000)","51,342,881","51,342,881","4,587,034","5,963,736","6,635,579","7,795,491","8,943,181","8,217,775","4,741,806","3,150,148","1,136,280","156,671","15,180","51,360,454","51,360,454","4,587,440","5,934,474","6,625,368","7,791,609","8,938,586","8,230,418","4,777,411","3,153,737","1,147,933","158,200","15,278","51,378,174","51,378,174","4,588,222","5,910,480","6,642,432","7,767,952","8,920,649","8,223,977","4,832,964","3,159,313","1,157,983","158,842","15,360","51,395,238","51,395,238","4,590,307","5,892,272","6,651,898","7,749,678","8,916,704","8,233,097","4,854,260","3,166,434","1,165,279","159,850","15,459","51,413,925","51,413,925","4,592,030","5,873,107","6,659,829","7,734,988","8,909,897","8,242,440","4,875,953","3,176,708","1,172,840","160,563","15,570","51,431,100","51,431,100","4,596,014","5,853,773","6,666,507","7,726,898","8,908,312","8,247,937","4,894,478","3,185,222","1,176,083","160,247","15,629"
"서울특별시  (1100000000)","10,104,515","10,104,515","792,353","1,039,405","1,455,881","1,711,731","1,731,908","1,602,192","987,402","571,169","179,180","28,570","4,724","10,105,206","10,105,206","791,057","1,034,669","1,453,481","1,711,170","1,730,984","1,602,445","993,936","572,819","181,044","28,829","4,772","10,100,987","10,100,987","789,870","1,029,856","1,458,262","1,704,082","1,726,866","1,596,751","1,004,442","574,545","182,603","28,905","4,805","10,094,889","10,094,889","789,710","1,025,089","1,458,737","1,699,024","1,725,011","1,595,639","1,007,592","576,566","183,686","28,995","4,840","10,088,393","10,088,393","789,527","1,020,224","1,458,164","1,694,802","1,722,679","1,594,761","1,010,585","579,043","184,647","29,085","4,876","10,078,850","10,078,850","789,372","1,015,514","1,457,315","1,691,048","1,721,003","1,592,373","1,012,593","580,608","185,049","29,083","4,892"
"부산광역시  (2600000000)","3,517,898","3,517,898","263,747","365,123","455,687","503,003","576,949","628,752","404,630","236,220","73,516","8,856","1,415","3,517,939","3,517,939","264,053","363,407","454,757","502,301","576,597","627,664","407,571","236,932","74,266","8,966","1,425","3,515,839","3,515,839","264,229","361,392","455,084","500,498","574,632","625,139","411,945","237,621","74,845","9,020","1,434","3,515,439","3,515,439","264,572","359,691","455,460","499,330","574,156","624,344","413,738","238,356","75,280","9,072","1,440","3,515,806","3,515,806","264,995","358,082","455,864","498,488","573,713","623,590","415,586","239,179","75,726","9,147","1,436","3,517,491","3,517,491","265,504","356,680","456,347","498,604","573,651","623,045","417,140","239,962","75,987","9,125","1,446"
"대구광역시  (2700000000)","2,492,658","2,492,658","208,324","305,475","323,766","351,921","446,314","415,504","237,304","148,693","49,190","5,656","511","2,492,583","2,492,583","208,311","303,672","323,686","351,262","445,688","415,982","239,124","148,892","49,740","5,712","514","2,491,897","2,491,897","208,329","302,079","324,033","349,943","444,326","415,904","241,642","149,164","50,233","5,726","518","2,491,545","2,491,545","208,300","300,895","324,359","348,920","443,763","416,260","242,749","149,439","50,555","5,786","519","2,491,867","2,491,867","208,339","299,731","324,930","348,264","443,104","416,503","243,998","149,748","50,929","5,803","518","2,491,137","2,491,137","208,510","298,238","325,243","347,671","442,636","416,491","244,882","150,100","51,063","5,783","520"
"인천광역시  (2800000000)","2,904,876","2,904,876","269,998","338,504","398,128","460,586","521,778","483,080","235,323","138,925","50,406","7,517","631","2,906,603","2,906,603","270,207","336,641","397,988","460,088","521,207","484,585","237,504","139,282","50,872","7,593","636","2,908,418","2,908,418","270,332","335,006","398,993","459,018","520,050","484,735","240,989","139,766","51,267","7,611","651","2,910,307","2,910,307","270,568","333,849","399,644","458,171","519,671","485,657","242,578","140,225","51,593","7,693","658","2,912,114","2,912,114","270,757","332,703","399,897","457,648","519,165","486,750","243,920","140,872","52,023","7,717","662","2,914,271","2,914,271","271,122","331,548","400,379","457,612","519,032","487,375","245,185","141,435","52,216","7,700","667"
"광주광역시  (2900000000)","1,476,891","1,476,891","144,939","206,910","197,694","227,405","260,740","213,103","120,489","75,151","26,476","3,677","307","1,477,340","1,477,340","144,900","205,598","197,565","227,470","261,097","213,467","121,287","75,228","26,729","3,691","308","1,477,504","1,477,504","144,747","204,827","197,903","226,778","261,031","213,300","122,558","75,375","26,968","3,710","307","1,477,609","1,477,609","144,632","204,010","198,380","226,129","261,194","213,575","122,887","75,662","27,100","3,729","311","1,477,212","1,477,212","144,428","203,167","198,737","225,388","260,987","213,920","123,192","75,986","27,359","3,733","315","1,476,974","1,476,974","144,464","202,463","198,827","224,919","260,828","214,218","123,556","76,253","27,415","3,718","313"
"대전광역시  (3000000000)","1,531,287","1,531,287","148,286","195,258","209,904","236,980","271,789","237,693","125,374","75,084","26,942","3,715","262","1,529,431","1,529,431","147,691","193,874","209,572","236,370","271,111","238,014","126,375","75,220","27,199","3,744","261","1,528,090","1,528,090","147,297","192,868","210,171","235,106","270,227","237,672","127,903","75,355","27,486","3,744","261","1,527,314","1,527,314","147,150","191,984","210,556","234,255","269,740","237,858","128,535","75,562","27,655","3,756","263","1,526,568","1,526,568","146,872","191,386","210,736","233,511","269,159","237,998","129,182","75,880","27,806","3,776","262","1,525,656","1,525,656","146,764","190,575","210,794","232,979","268,938","237,855","129,664","76,180","27,895","3,745","267"
"울산광역시  (3100000000)","1,167,232","1,167,232","114,937","147,332","156,331","182,315","216,456","196,480","91,394","44,931","15,005","1,920","131","1,167,385","1,167,385","115,108","146,342","156,132","182,247","215,991","196,906","92,348","45,099","15,136","1,949","127","1,168,692","1,168,692","115,334","145,465","156,566","182,052","215,495","197,305","93,806","45,332","15,257","1,951","129","1,169,433","1,169,433","115,456","144,816","156,843","181,932","215,257","197,678","94,495","45,489","15,360","1,978","129","1,169,658","1,169,658","115,600","144,153","157,132","181,542","214,846","198,000","95,152","45,686","15,431","1,983","133","1,169,768","1,169,768","115,747","143,610","157,268","181,364","214,503","198,298","95,662","45,784","15,434","1,964","134"
"세종특별자치시  (3600000000)","161,716","161,716","20,509","18,037","17,986","28,963","28,033","21,123","12,589","9,717","4,155","571","33","169,762","169,762","22,394","19,348","18,424","30,664","29,806","21,653","12,874","9,787","4,206","575","31","174,920","174,920","23,377","19,873","18,983","31,827","30,718","22,165","13,230","9,873","4,262","580","32","178,656","178,656","23,985","20,208","19,433","32,678","31,404","22,598","13,496","9,903","4,332","587","32","182,028","182,028","24,552","20,526","19,809","33,358","32,026","23,038","13,727","9,983","4,386","591","32","185,212","185,212","25,178","20,774","20,225","34,047","32,580","23,376","13,932","10,062","4,414","591","33"
"경기도  (4100000000)","12,366,711","12,366,711","1,242,727","1,528,317","1,608,280","1,987,086","2,307,441","1,899,611","945,724","601,018","213,049","30,662","2,796","12,376,944","12,376,944","1,242,881","1,521,377","1,607,345","1,986,461","2,306,387","1,906,769","954,087","602,423","215,404","30,989","2,821","12,392,297","12,392,297","1,243,606","1,516,717","1,614,095","1,981,395","2,303,817","1,909,421","967,322","604,478","217,411","31,199","2,836","12,405,279","12,405,279","1,244,189","1,513,962","1,618,331","1,977,194","2,304,389","1,914,399","972,889","606,707","218,929","31,434","2,856","12,418,899","12,418,899","1,244,594","1,511,157","1,621,538","1,974,358","2,304,175","1,919,596","978,930","609,501","220,585","31,594","2,871","12,432,063","12,432,063","1,245,684","1,508,316","1,624,110","1,972,685","2,305,101","1,924,017","983,989","612,123","221,555","31,597","2,886"
