"행정구역","2018년01월_계_총인구수","2018년01월_계_연령구간인구수","2018년01월_계_0~9세","2018년01월_계_10~19세","2018년01월_계_20~29세","2018년01월_계_30~39세","2018년01월_계_40~49세","2018년01월_계_50~59세","2018년01월_계_60~69세","2018년01월_계_70~79세","2018년01월_계_80~89세","2018년01월_계_90~99세","2018년01월_계_100세 이상","2018년02월_계_총인구수","2018년02월_계_연령구간인구수","2018년02월_계_0~9세","2018년02월_계_10~19세","2018년02월_계_20~29세","2018년02월_계_30~39세","2018년02월_계_40~49세","2018년02월_계_50~59세","2018년02월_계_60~69세","2018년02월_계_70~79세","2018년02월_계_80~89세","2018년02월_계_90~99세","2018년02월_계_100세 이상","2018년03월_계_총인구수","2018년03월_계_연령구간인구수","2018년03월_계_0~9세","2018년03월_계_10~19세","2018년03월_계_20~29세","2018년03월_계_30~39세","2018년03월_계_40~49세","2018년03월_계_50~59세","2018년03월_계_60~69세","2018년03월_계_70~79세","2018년03월_계_80~89세","2018년03월_계_90~99세","2018년03월_계_100세 이상","2018년04월_계_총인구수","2018년04월_계_연령구간인구수","2018년04월_계_0~9세","2018년04월_계_10~19세","2018년04월_계_20~29세","2018년04월_계_30~39세","2018년04월_계_40~49세","2018년04월_계_50~59세","2018년04월_계_60~69세","2018년04월_계_70~79세","2018년04월_계_80~89세","2018년04월_계_90~99세","2018년04월_계_100세 이상","2018년05월_계_총인구수","2018년05월_계_연령구간인구수","2018년05월_계_0~9세","2018년05월_계_10~19세","2018년05월_계_20~29세","2018년05월_계_30~39세","2018년05월_계_40~49세","2018년05월_계_50~59세","2018년05월_계_60~69세","2018년05월_계_70~79세","2018년05월_계_80~89세","2018년05월_계_90~99세","2018년05월_계_100세 이상","2018년06월_계_총인구수","2018년06월_계_연령구간인구수","2018년06월_계_0~9세","2018년06월_계_10~19세","2018년06월_계_20~29세","2018년06월_계_30~39세","2018년06월_계_40~49세","2018년06월_계_50~59세","2018년06월_계_60~69세","2018년06월_계_70~79세","2018년06월_계_80~89세","2018년06월_계_90~99세","2018년06월_계_100세 이상"
"전국  (0000000000)","51,779,148","51,779,148","4,419,005","5,290,920","6,802,745","7,362,065","8,690,817","8,501,149","5,681,299","3,390,847","1,429,068","193,290","17,943","51,779,892","51,779,892","4,408,248","5,272,458","6,789,898","7,351,407","8,684,443","8,518,481","5,701,786","3,400,960","1,438,470","195,700","18,041","51,784,669","51,784,669","4,395,946","5,254,227","6,804,652","7,335,625","8,654,062","8,532,961","5,728,894","3,411,521","1,450,743","197,905","18,133","51,790,131","51,790,131","4,385,756","5,238,058","6,815,039","7,326,878","8,639,619","8,538,965","5,748,649","3,419,164","1,460,391","199,373","18,239","51,796,179","51,796,179","4,377,694","5,223,778","6,820,545","7,320,188","8,624,279","8,544,761","5,768,743","3,429,492","1,467,805","200,554","18,340","51,801,449","51,801,449","4,369,337","5,209,391","6,825,876","7,313,475","8,616,238","8,550,363","5,785,937","3,439,837","1,471,800","200,826","18,369"
"서울특별시  (1100000000)","9,851,767","9,851,767","723,848","891,262","1,445,972","1,577,855","1,644,169","1,553,696","1,112,425","638,477","224,890","33,627","5,546","9,845,336","9,845,336","719,738","888,438","1,444,220","1,574,737","1,641,617","1,554,650","1,114,796","641,159","226,353","34,053","5,575","9,838,892","9,838,892","715,982","885,227","1,449,491","1,570,167","1,634,166","1,554,026","1,117,905","643,620","228,319","34,387","5,602","9,830,452","9,830,452","713,128","880,994","1,451,485","1,567,335","1,629,762","1,552,693","1,119,857","645,302","229,671","34,585","5,640","9,820,971","9,820,971","710,668","876,916","1,452,013","1,564,461","1,625,391","1,551,076","1,121,912","647,344","230,749","34,760","5,681","9,814,049","9,814,049","708,081","873,498","1,452,938","1,562,523","1,622,393","1,549,721","1,123,507","649,471","231,319","34,891","5,707"
"부산광역시  (2600000000)","3,467,055","3,467,055","257,778","308,912","450,597","466,437","543,529","598,859","473,823","261,133","92,734","11,629","1,624","3,465,407","3,465,407","257,279","307,757","449,754","465,176","542,640","598,842","475,000","262,129","93,431","11,773","1,626","3,463,103","3,463,103","256,634","306,411","449,836","463,772","540,428","598,253","476,563","263,352","94,256","11,971","1,627","3,460,707","3,460,707","256,113","305,020","449,753","463,006","539,116","597,372","477,501","264,337","94,805","12,052","1,632","3,458,134","3,458,134","255,763","303,634","449,504","461,978","537,802","596,409","478,584","265,448","95,227","12,151","1,634","3,455,611","3,455,611","255,422","302,335","449,109","460,982","536,973","595,801","479,375","266,356","95,473","12,156","1,629"
"대구광역시  (2700000000)","2,474,309","2,474,309","200,324","260,862","332,101","323,506","419,629","425,530","283,645","158,036","62,909","7,149","618","2,473,466","2,473,466","199,996","259,353","331,972","322,937","418,464","426,519","284,369","158,600","63,413","7,223","620","2,472,175","2,472,175","199,495","257,833","332,316","322,350","416,350","427,488","284,967","159,327","64,120","7,306","623","2,471,136","2,471,136","198,887","256,890","332,570","322,006","415,241","427,702","285,444","159,819","64,564","7,389","624","2,469,936","2,469,936","198,576","255,837","332,672","321,692","413,758","428,126","286,000","160,307","64,910","7,439","619","2,469,617","2,469,617","198,201","254,854","333,016","321,372","412,818","428,671","286,686","160,886","65,045","7,454","614"
"인천광역시  (2800000000)","2,950,771","2,950,771","259,197","300,996","409,954","439,519","506,215","507,708","295,594","157,551","63,880","9,366","791","2,951,629","2,951,629","258,703","300,005","409,290","438,902","505,822","508,738","297,299","158,250","64,327","9,496","797","2,951,442","2,951,442","257,711","299,001","409,882","437,883","503,890","509,749","299,143","158,931","64,878","9,574","800","2,952,476","2,952,476","257,186","298,253","410,316","437,330","503,357","510,113","300,676","159,508","65,296","9,635","806","2,953,255","2,953,255","256,609","297,546","410,635","436,880","502,538","510,503","302,172","160,213","65,664","9,680","815","2,953,883","2,953,883","256,086","296,625","410,929","436,599","501,959","510,853","303,624","160,820","65,868","9,700","820"
"광주광역시  (2900000000)","1,464,037","1,464,037","135,383","179,315","203,770","205,006","252,889","226,770","139,179","84,032","32,863","4,479","351","1,463,100","1,463,100","134,894","178,362","203,463","204,583","252,836","227,245","139,449","84,273","33,131","4,512","352","1,462,033","1,462,033","134,444","177,348","203,848","203,962","252,116","227,575","139,934","84,474","33,404","4,576","352","1,460,972","1,460,972","134,081","176,547","204,197","203,270","251,844","227,608","140,230","84,592","33,636","4,617","350","1,460,564","1,460,564","133,772","175,914","204,672","202,858","251,314","227,651","140,690","84,892","33,820","4,625","356","1,460,745","1,460,745","133,470","175,238","204,980","202,683","251,092","227,878","141,209","85,246","33,950","4,642","357"
"대전광역시  (3000000000)","1,501,378","1,501,378","134,632","167,350","213,689","214,957","258,228","239,414","152,774","81,619","33,812","4,592","311","1,499,187","1,499,187","133,699","166,604","213,086","214,109","257,643","239,809","153,319","81,910","34,050","4,644","314","1,497,572","1,497,572","133,088","165,682","213,405","213,228","256,343","240,255","154,003","82,203","34,327","4,724","314","1,496,123","1,496,123","132,463","165,037","213,550","212,644","255,548","240,420","154,359","82,411","34,616","4,763","312","1,495,234","1,495,234","131,967","164,447","213,631","212,261","254,818","240,661","154,791","82,725","34,825","4,793","315","1,494,878","1,494,878","131,559","163,780","214,046","211,930","254,521","240,749","155,255","82,975","34,973","4,775","315"
"울산광역시  (3100000000)","1,164,489","1,164,489","112,027","126,431","156,684","170,623","201,289","207,915","117,681","50,709","18,558","2,422","150","1,163,151","1,163,151","111,597","125,543","156,153","170,053","200,789","208,437","118,327","50,960","18,684","2,460","148","1,162,074","1,162,074","111,327","124,763","155,940","169,539","199,919","208,727","119,071","51,317","18,835","2,487","149","1,161,303","1,161,303","111,019","124,192","155,853","169,257","199,378","208,845","119,573","51,555","18,979","2,501","151","1,160,657","1,160,657","110,807","123,724","155,671","168,931","198,797","208,963","120,164","51,864","19,079","2,503","154","1,159,594","1,159,594","110,468","123,306","155,476","168,480","198,365","209,094","120,587","52,051","19,104","2,509","154"
"세종특별자치시  (3600000000)","283,198","283,198","40,525","32,727","30,374","52,945","52,822","34,038","21,362","11,761","5,800","794","50","288,079","288,079","41,505","33,471","30,660","53,880","53,882","34,488","21,639","11,856","5,840","809","49","291,182","291,182","41,835","33,829","31,191","54,362","54,398","34,909","21,930","11,949","5,907","821","51","295,041","295,041","42,423","34,229","31,650","55,230","54,967","35,415","22,253","12,018","5,987","819","50","297,604","297,604","42,704","34,540","31,971","55,706","55,412","35,833","22,469","12,059","6,037","822","51","300,332","300,332","43,022","34,857","32,287","56,197","55,936","36,291","22,699","12,139","6,022","830","52"
"경기도  (4100000000)","12,890,445","12,890,445","1,223,656","1,408,785","1,721,820","1,936,486","2,313,935","2,083,533","1,200,438","680,718","278,729","38,943","3,402","12,908,010","12,908,010","1,223,227","1,405,847","1,720,074","1,937,276","2,315,577","2,091,188","1,207,455","683,641","280,822","39,480","3,423","12,925,761","12,925,761","1,221,511","1,402,575","1,726,832","1,936,424","2,310,173","2,098,231","1,216,586","686,695","283,390","39,899","3,445","12,941,604","12,941,604","1,219,948","1,399,969","1,731,771","1,937,086","2,308,564","2,102,580","1,223,596","688,889","285,593","40,137","3,471","12,958,648","12,958,648","1,218,868","1,398,706","1,735,086","1,938,600","2,307,183","2,106,829","1,230,230","691,947","287,328","40,369","3,502","12,975,176","12,975,176","1,217,856","1,397,662","1,738,304","1,939,322","2,307,598","2,110,958","1,236,212","694,825","288,446","40,494","3,499"
"강원도  (4200000000)","1,548,078","1,548,078","116,210","156,271","184,896","179,828","241,372","270,535","195,621","135,613","58,277","8,756","699","1,546,259","1,546,259","115,728","155,491","183,992","179,235","240,665","270,657","196,606","135,716","58,586","8,886","697","1,546,152","1,546,152","115,402","155,129","183,847","178,640","239,624","270,985","197,783","135,921","59,145","8,979","697","1,545,452","1,545,452","115,095","154,535","183,689","178,149","238,870","271,201","198,569","135,992","59,638","9,012","702","1,545,291","1,545,291","114,879","153,934","183,690","177,781","238,349","271,286","199,558","136,091","59,946","9,072","705","1,544,843","1,544,843","114,581","153,344","183,697","177,312","238,136","271,263","200,314","136,170","60,243","9,079","704"
"충청북도  (4300000000)","1,593,903","1,593,903","136,673","165,302","198,953","207,563","255,120","267,314","183,338","116,521","55,611","7,027","481","1,594,066","1,594,066","136,393","164,567","198,454","207,525","254,826","267,795","184,244","116,722","55,966","7,094","480","1,594,708","1,594,708","136,107","163,917","199,002","207,189","253,869","268,203","185,373","116,943","56,431","7,186","488","1,595,164","1,595,164","135,780","163,404","199,563","206,811","253,400","268,524","186,228","116,879","56,827","7,258","490","1,595,822","1,595,822","135,607","163,083","199,726","206,645","252,895","268,941","187,035","117,052","57,034","7,308","496","1,595,772","1,595,772","135,309","162,495","199,803","206,519","252,557","269,092","187,709","117,320","57,179","7,291","498"
"충청남도  (4400000000)","2,117,685","2,117,685","193,467","218,104","247,741","292,441","336,545","330,866","238,052","161,959","86,810","10,939","761","2,118,099","2,118,099","193,050","217,584","246,704","292,188","336,808","331,725","238,826","162,053","87,298","11,097","766","2,119,468","2,119,468","192,774","217,182","247,261","291,517","335,972","332,564","239,984","162,209","87,994","11,240","771","2,120,666","2,120,666","192,303","216,845","247,802","291,108","335,611","333,073","240,885","162,345","88,589","11,329","776","2,121,618","2,121,618","191,932","216,508","247,997","290,979","335,140","333,652","241,605","162,543","89,062","11,431","769","2,122,220","2,122,220","191,697","215,974","248,060","290,763","335,212","334,105","242,197","162,756","89,224","11,460","772"
"전라북도  (4500000000)","1,851,694","1,851,694","149,843","199,015","219,297","215,002","290,675","300,557","225,202","161,267","79,634","10,489","713","1,849,543","1,849,543","149,287","197,901","218,357","214,148","290,583","300,962","225,430","161,447","80,086","10,622","720","1,848,066","1,848,066","148,709","196,953","218,337","213,300","289,587","301,530","226,087","161,503","80,594","10,749","717","1,847,089","1,847,089","148,207","196,305","218,438","212,644","289,097","301,785","226,578","161,580","80,896","10,836","723","1,846,144","1,846,144","147,728","195,585","218,516","212,248","288,251","302,118","227,013","161,722","81,301","10,940","722","1,844,639","1,844,639","147,330","194,851","218,349","211,639","287,676","302,198","227,353","162,075","81,483","10,964","721"
"전라남도  (4600000000)","1,893,444","1,893,444","150,328","190,837","206,505","211,315","280,699","316,868","237,610","192,551","93,828","12,165","738","1,891,308","1,891,308","149,791","189,618","205,715","210,737","280,387","317,183","238,031","192,355","94,465","12,275","751","1,890,423","1,890,423","149,239","189,034","205,660","209,865","279,527","317,773","238,864","191,907","95,397","12,398","759","1,890,412","1,890,412","148,918","188,429","206,045","209,264","279,193","317,969","239,528","191,564","96,235","12,496","771","1,889,726","1,889,726","148,601","187,796","206,052","208,746","278,639","317,996","240,113","191,587","96,833","12,588","775","1,887,991","1,887,991","148,188","187,126","206,025","208,117","277,998","317,801","240,560","191,836","96,983","12,584","773"
"경상북도  (4700000000)","2,688,747","2,688,747","214,627","253,495","304,105","328,049","413,229","461,715","352,941","230,532","114,397","14,845","812","2,685,633","2,685,633","213,657","252,348","302,609","326,812","412,193","462,501","353,785","230,808","115,126","14,979","815","2,683,661","2,683,661","212,831","251,277","302,256","325,501","410,280","463,343","354,830","231,257","116,122","15,143","821","2,682,897","2,682,897","212,222","250,467","302,289","324,870","409,130","463,677","355,673","231,572","116,839","15,337","821","2,682,316","2,682,316","211,795","249,699","302,075","324,250","408,109","464,193","356,687","231,986","117,267","15,429","826","2,681,090","2,681,090","211,402","248,766","301,858","323,644","407,294","464,644","357,376","232,428","117,457","15,393","828"
"경상남도  (4800000000)","3,379,981","3,379,981","306,409","356,322","396,505","453,160","565,864","570,581","385,575","225,926","106,110","12,870","659","3,378,430","3,378,430","305,492","354,829","395,562","451,625","564,949","572,144","386,992","226,431","106,672","13,069","665","3,377,516","3,377,516","304,630","353,415","395,457","450,341","562,616","573,408","389,315","227,171","107,280","13,213","670","3,377,126","3,377,126","303,734","352,409","395,699","449,242","561,660","573,825","390,820","227,965","107,771","13,331","670","3,377,626","3,377,626","303,153","351,524","395,944","448,450","560,919","574,197","392,472","228,747","108,172","13,377","671","3,377,483","3,377,483","302,456","350,400","396,068","447,682","560,657","574,698","393,774","229,367","108,368","13,338","675"
"제주특별자치도  (5000000000)","658,167","658,167","64,078","74,934","79,782","87,373","114,608","105,250","66,039","42,442","20,226","3,198","237","659,189","659,189","64,212","74,740","79,833","87,484","114,762","105,598","66,219","42,650","20,220","3,228","243","660,441","660,441","64,227","74,651","80,091","87,585","114,804","105,942","66,556","42,742","20,344","3,252","247","661,511","661,511","64,249","74,533","80,369","87,626","114,881","106,163","66,879","42,836","20,449","3,276","250","662,633","662,633","64,265","74,385","80,690","87,722","114,964","106,327","67,248","42,965","20,551","3,267","249","663,526","663,526","64,209","74,280","80,931","87,711","115,053","106,546","67,500","43,116","20,663","3,266","251"
