"행정구역","2016년07월_계_총인구수","2016년07월_계_연령구간인구수","2016년07월_계_0~9세","2016년07월_계_10~19세","2016년07월_계_20~29세","2016년07월_계_30~39세","2016년07월_계_40~49세","2016년07월_계_50~59세","2016년07월_계_60~69세","2016년07월_계_70~79세","2016년07월_계_80~89세","2016년07월_계_90~99세","2016년07월_계_100세 이상","2016년08월_계_총인구수","2016년08월_계_연령구간인구수","2016년08월_계_0~9세","2016년08월_계_10~19세","2016년08월_계_20~29세","2016년08월_계_30~39세","2016년08월_계_40~49세","2016년08월_계_50~59세","2016년08월_계_60~69세","2016년08월_계_70~79세","2016년08월_계_80~89세","2016년08월_계_90~99세","2016년08월_계_100세 이상","2016년09월_계_총인구수","2016년09월_계_연령구간인구수","2016년09월_계_0~9세","2016년09월_계_10~19세","2016년09월_계_20~29세","2016년09월_계_30~39세","2016년09월_계_40~49세","2016년09월_계_50~59세","2016년09월_계_60~69세","2016년09월_계_70~79세","2016년09월_계_80~89세","2016년09월_계_90~99세","2016년09월_계_100세 이상","2016년10월_계_총인구수","2016년10월_계_연령구간인구수","2016년10월_계_0~9세","2016년10월_계_10~19세","2016년10월_계_20~29세","2016년10월_계_30~39세","2016년10월_계_40~49세","2016년10월_계_50~59세","2016년10월_계_60~69세","2016년10월_계_70~79세","2016년10월_계_80~89세","2016년10월_계_90~99세","2016년10월_계_100세 이상","2016년11월_계_총인구수","2016년11월_계_연령구간인구수","2016년11월_계_0~9세","2016년11월_계_10~19세","2016년11월_계_20~29세","2016년11월_계_30~39세","2016년11월_계_40~49세","2016년11월_계_50~59세","2016년11월_계_60~69세","2016년11월_계_70~79세","2016년11월_계_80~89세","2016년11월_계_90~99세","2016년11월_계_100세 이상","2016년12월_계_총인구수","2016년12월_계_연령구간인구수","2016년12월_계_0~9세","2016년12월_계_10~19세","2016년12월_계_20~29세","2016년12월_계_30~39세","2016년12월_계_40~49세","2016년12월_계_50~59세","2016년12월_계_60~69세","2016년12월_계_70~79세","2016년12월_계_80~89세","2016년12월_계_90~99세","2016년12월_계_100세 이상"
"전국  (0000000000)","51,634,618","51,634,618","4,585,234","5,577,221","6,727,852","7,599,212","8,814,453","8,394,799","5,264,186","3,197,171","1,285,312","172,098","17,080","51,649,552","51,649,552","4,584,589","5,560,838","6,732,540","7,586,710","8,811,217","8,398,687","5,284,007","3,209,957","1,291,027","172,792","17,188","51,664,244","51,664,244","4,580,953","5,541,832","6,740,104","7,579,392","8,803,308","8,402,797","5,305,289","3,221,102","1,298,530","173,623","17,314","51,677,054","51,677,054","4,575,391","5,519,802","6,748,384","7,570,099","8,795,490","8,408,528","5,331,633","3,229,523","1,306,354","174,437","17,413","51,687,682","51,687,682","4,570,380","5,501,612","6,751,641","7,557,813","8,798,021","8,412,800","5,354,130","3,234,272","1,314,485","175,051","17,477","51,696,216","51,696,216","4,566,168","5,481,038","6,758,428","7,534,140","8,797,053","8,424,661","5,376,421","3,239,119","1,325,294","176,332","17,562"
"서울특별시  (1100000000)","9,981,673","9,981,673","772,511","955,224","1,448,063","1,644,471","1,687,369","1,580,169","1,064,322","592,112","201,468","30,644","5,320","9,971,111","9,971,111","770,120","951,512","1,448,168","1,639,332","1,684,789","1,577,632","1,066,148","595,073","202,274","30,716","5,347","9,964,291","9,964,291","768,322","947,475","1,447,597","1,636,492","1,682,678","1,575,291","1,069,049","597,742","203,421","30,860","5,364","9,954,791","9,954,791","765,964","942,620","1,446,707","1,632,960","1,680,343","1,573,336","1,071,842","599,905","204,696","31,007","5,411","9,943,333","9,943,333","763,485","938,421","1,444,919","1,628,185","1,679,478","1,570,995","1,074,277","601,083","206,035","31,011","5,444","9,930,616","9,930,616","761,314","934,205","1,442,701","1,620,974","1,678,172","1,570,037","1,076,270","602,541","207,716","31,211","5,475"
"부산광역시  (2600000000)","3,508,095","3,508,095","267,991","333,691","455,887","489,380","561,534","615,997","446,634","242,439","82,939","10,057","1,546","3,507,205","3,507,205","268,088","332,082","455,920","488,866","560,869","614,765","448,014","243,602","83,353","10,087","1,559","3,505,821","3,505,821","267,983","330,282","456,018","488,149","560,034","613,615","449,407","244,812","83,849","10,107","1,565","3,503,789","3,503,789","267,745","328,490","455,887","487,137","559,154","612,345","451,348","245,590","84,382","10,143","1,568","3,501,671","3,501,671","267,512","327,027","455,519","485,749","558,941","611,284","452,829","246,056","84,991","10,189","1,574","3,498,529","3,498,529","267,087","325,210","455,199","483,516","558,328","610,400","454,451","246,583","85,833","10,337","1,585"
"대구광역시  (2700000000)","2,484,856","2,484,856","207,284","280,104","328,774","337,643","433,238","421,796","264,200","148,706","56,317","6,223","571","2,485,537","2,485,537","207,495","279,137","329,234","337,000","432,983","421,902","265,073","149,339","56,536","6,261","577","2,485,692","2,485,692","207,382","277,951","329,712","336,436","432,411","422,004","266,221","149,874","56,832","6,285","584","2,485,484","2,485,484","207,088","276,545","330,202","335,652","431,872","422,059","267,974","150,040","57,148","6,313","591","2,485,535","2,485,535","207,080","275,447","330,147","334,992","432,014","422,091","269,153","150,183","57,503","6,334","591","2,484,557","2,484,557","207,036","274,127","329,927","333,768","431,822","422,215","270,182","150,535","57,934","6,420","591"
"인천광역시  (2800000000)","2,937,217","2,937,217","270,907","316,490","404,592","453,322","513,481","500,079","267,499","144,547","57,280","8,278","742","2,938,902","2,938,902","270,885","315,503","404,941","452,893","513,264","500,567","268,805","145,402","57,586","8,313","743","2,940,436","2,940,436","270,701","314,471","405,483","452,643","512,809","501,030","270,131","146,097","57,978","8,343","750","2,941,793","2,941,793","270,281","313,281","406,140","452,136","512,331","501,563","271,718","146,727","58,451","8,415","750","2,942,613","2,942,613","269,931","312,485","406,214","451,418","512,487","501,793","273,041","147,148","58,869","8,477","750","2,943,069","2,943,069","269,510","311,493","406,622","450,143","512,174","502,587","274,298","147,609","59,356","8,523","754"
"광주광역시  (2900000000)","1,472,481","1,472,481","142,239","191,418","200,796","217,730","256,651","221,127","130,750","77,807","29,607","4,015","341","1,472,432","1,472,432","142,099","190,649","201,117","216,833","256,782","221,524","131,170","78,121","29,739","4,050","348","1,472,379","1,472,379","141,766","189,999","201,589","216,190","256,645","221,934","131,496","78,471","29,861","4,073","355","1,471,911","1,471,911","141,430","189,203","201,895","215,321","256,465","222,322","131,951","78,859","29,999","4,111","355","1,471,384","1,471,384","141,260","188,503","201,929","214,599","256,339","222,669","132,391","79,141","30,098","4,100","355","1,469,214","1,469,214","140,957","187,604","201,402","213,395","255,953","222,914","132,868","79,294","30,370","4,102","355"
"대전광역시  (3000000000)","1,516,291","1,516,291","143,162","179,362","212,398","225,280","265,307","239,014","140,092","76,780","30,576","4,008","312","1,516,165","1,516,165","142,954","178,840","212,578","224,937","265,049","238,924","140,699","77,158","30,683","4,027","316","1,516,241","1,516,241","142,806","178,101","212,885","224,664","264,785","238,878","141,492","77,408","30,865","4,038","319","1,515,787","1,515,787","142,546","177,368","212,968","224,352","264,465","238,843","142,185","77,611","31,073","4,059","317","1,515,394","1,515,394","142,311","176,781","212,894","223,803","264,546","238,751","142,964","77,695","31,258","4,079","312","1,514,370","1,514,370","142,076","175,916","212,796","222,879","264,265","239,111","143,650","77,775","31,484","4,110","308"
"울산광역시  (3100000000)","1,173,066","1,173,066","116,309","135,397","158,664","179,036","208,515","204,058","105,658","46,333","16,823","2,136","137","1,173,005","1,173,005","116,313","134,977","158,585","178,741","208,126","204,241","106,279","46,580","16,864","2,162","137","1,172,965","1,172,965","116,233","134,478","158,702","178,566","207,567","204,467","106,820","46,910","16,916","2,169","137","1,173,178","1,173,178","116,225","133,859","158,750","178,394","207,205","204,754","107,598","47,082","17,013","2,161","137","1,172,891","1,172,891","116,094","133,303","158,751","177,963","207,046","204,923","108,180","47,226","17,089","2,179","137","1,172,304","1,172,304","115,921","132,712","158,704","177,144","206,835","205,095","108,980","47,361","17,214","2,200","138"
"세종특별자치시  (3600000000)","232,117","232,117","33,237","25,809","25,261","44,165","41,860","28,071","17,308","10,654","5,054","653","45","234,510","234,510","33,704","26,152","25,455","44,581","42,387","28,265","17,478","10,704","5,078","660","46","236,134","236,134","33,936","26,311","25,611","44,875","42,795","28,444","17,626","10,727","5,098","663","48","238,533","238,533","34,321","26,557","25,858","45,382","43,237","28,732","17,822","10,775","5,137","663","49","240,560","240,560","34,597","26,842","26,055","45,735","43,628","29,093","17,942","10,772","5,173","674","49","243,048","243,048","34,911","27,125","26,523","45,951","44,188","29,440","18,159","10,793","5,219","690","49"
"경기도  (4100000000)","12,629,325","12,629,325","1,250,465","1,458,007","1,666,587","1,959,277","2,306,304","2,000,547","1,077,896","627,165","245,624","34,256","3,197","12,649,894","12,649,894","1,251,981","1,456,345","1,669,532","1,959,035","2,308,125","2,005,051","1,084,262","630,717","247,135","34,493","3,218","12,666,278","12,666,278","1,252,026","1,452,867","1,673,253","1,959,321","2,307,997","2,009,504","1,090,555","633,657","249,066","34,776","3,256","12,683,730","12,683,730","1,251,487","1,448,441","1,677,739","1,959,486","2,308,302","2,014,756","1,097,761","636,454","251,051","34,976","3,277","12,699,920","12,699,920","1,251,171","1,444,235","1,681,325","1,958,894","2,311,023","2,019,253","1,104,166","638,385","252,961","35,219","3,288","12,716,780","12,716,780","1,251,110","1,439,515","1,687,250","1,955,946","2,312,530","2,025,958","1,110,220","640,149","255,340","35,457","3,305"
