iter	MultiClass
133	0.8128520497
134	0.8122339011
135	0.8117439568
136	0.8115599177
137	0.8110573679
138	0.8108726834
139	0.8105480033
140	0.8102309723
141	0.8101406005
142	0.8097330016
143	0.8095462842
144	0.8090479264
145	0.8088941435
146	0.8087308749
147	0.8084628997
148	0.8081418749
149	0.8077720204
150	0.8075750757
151	0.8073446918
152	0.8070519673
153	0.8067476062
154	0.8060796318
155	0.8057807774
156	0.8055457735
157	0.8051507825
158	0.804940545
159	0.8048424662
160	0.8047212221
161	0.804278069
162	0.8040149
163	0.8037207792
164	0.8035331494
165	0.8032576159
166	0.8030052876
167	0.8025177497
168	0.8022657783
169	0.8017164182
170	0.8014592895
171	0.8009501471
172	0.8004202193
173	0.8001195663
174	0.7999713273
175	0.7996665389
176	0.79943606
177	0.799206702
178	0.7990117393
179	0.7987638057
180	0.7986317412
181	0.7985251277
182	0.7984415213
183	0.7981673486
184	0.7977724886
185	0.7975453329
186	0.797077964
187	0.7968113172
188	0.7965086058
189	0.7960871334
190	0.7956737668
191	0.7954241085
192	0.7952620328
193	0.7947068301
194	0.794539538
195	0.794295773
196	0.7941611918
197	0.7939249263
198	0.7937975522
199	0.7933281724
200	0.7930200102
201	0.7929055085
202	0.7926494816
203	0.7925034416
204	0.7922841183
205	0.791905331
206	0.7916274033
207	0.7914240684
208	0.7909667693
209	0.7906718584
210	0.7902799373
211	0.7900816027
212	0.7897501818
213	0.7894428447
214	0.7892625498
215	0.7890126344
216	0.7888300559
217	0.7885797403
218	0.7884268164
219	0.7879579137
220	0.7876194965
221	0.7872962282
222	0.7871266411
223	0.7867023287
224	0.7865591454
225	0.7862697336
226	0.7859979952
227	0.7855156396
228	0.7852890231
229	0.7848026992
230	0.7846248162
231	0.7841930548
232	0.783972556
233	0.7837607649
234	0.7835478235
235	0.7832361863
236	0.7830259609
237	0.7828506256
238	0.7822938302
239	0.7821282757
240	0.7818181639
241	0.7815313946
242	0.7811731748
243	0.7809980614
244	0.7807411055
245	0.7803573413
246	0.7799337184
247	0.7797633339
248	0.7795157531
249	0.7793522859
250	0.7790867643
251	0.7784321667
252	0.7781821525
253	0.7779035111
254	0.7777023405
255	0.7774630968
256	0.7771472011
257	0.7765981148
258	0.7761142478
259	0.7756324051
260	0.7755218821
261	0.7752496257
262	0.7751487674
263	0.7748302264
264	0.7744620012
265	0.7743306306
266	0.774179963
267	0.773972178
268	0.7736762371
269	0.7734544897
270	0.7732720217
271	0.7730157701
272	0.7728151581
273	0.7725210604
274	0.7724147156
275	0.7721757171
276	0.7719547724
277	0.7717682473
278	0.7712860327
279	0.7711118321
280	0.7706605258
281	0.7704346139
282	0.7699621257
283	0.7698015722
284	0.7696121968
285	0.7691682021
286	0.7689363461
287	0.7686021943
288	0.7683776189
289	0.7682058372
290	0.767800056
291	0.7677249718
292	0.767527448
293	0.7673590736
294	0.7672467264
295	0.7670037486
296	0.7668881264
297	0.7668009594
298	0.7665174888
299	0.7662946215
300	0.7660062071
301	0.7657056558
302	0.7655013412
303	0.7652704279
304	0.765068479
305	0.7648279046
306	0.7645845552
307	0.7641470711
308	0.7638905173
309	0.763662393
310	0.7633344508
311	0.7630106436
312	0.7628209101
313	0.7625828636
314	0.7623961862
315	0.7622058401
316	0.7618828929
317	0.7616700137
318	0.7613150926
319	0.7611570188
320	0.7610389743
321	0.7608338479
322	0.7605796721
323	0.7603730613
324	0.7601811468
325	0.7598414554
326	0.7596307986
327	0.7593760679
328	0.7591295057
329	0.7589425045
330	0.7587892302
331	0.7584756894
332	0.7582535232
333	0.7580149439
334	0.7577918852
335	0.7576188677
336	0.7573966742
337	0.7570972138
338	0.7569013092
339	0.7568017322
340	0.7566747572
341	0.7562197127
342	0.7559884495
343	0.7556890162
344	0.7553637038
345	0.7551668947
346	0.7549193783
347	0.7545716768
348	0.754393183
349	0.754176683
350	0.7540024443
351	0.7536941614
352	0.7535232074
353	0.7533509285
354	0.7531367214
355	0.7528797135
356	0.7526139228
357	0.7523676952
358	0.7521053849
359	0.7519502446
360	0.7518391001
361	0.7514302101
362	0.7512458736
363	0.7510355901
364	0.7506461327
365	0.7504305024
366	0.7501574691
367	0.7499503986
368	0.7497941079
369	0.7494880168
370	0.7491411043
371	0.7488101328
372	0.7485915643
373	0.748489469
374	0.7483669377
375	0.7479411328
376	0.7475443871
377	0.7474089556
378	0.7472216518
379	0.7470804575
380	0.7469542831
381	0.7467876526
382	0.7466910067
383	0.7464976328
384	0.7462212172
385	0.7460072911
386	0.7456814434
387	0.7455601083
388	0.7454203513
389	0.7452892005
390	0.7450630092
391	0.7449567404
392	0.7446654637
393	0.7444259095
394	0.7442765729
395	0.7439655295
396	0.7436931027
397	0.7434177903
398	0.7431021389
399	0.7429495476
400	0.7427099975
401	0.742435351
402	0.7421009762
403	0.7419534738
404	0.7416787942
405	0.7415290359
406	0.7414451033
407	0.7411958731
408	0.7410503694
409	0.7408734302
410	0.740613701
411	0.7404652099
412	0.7403322674
413	0.7400401213
414	0.7398375533
415	0.7395072212
416	0.739232262
417	0.7390678606
418	0.7389442439
419	0.7387807123
420	0.738416348
421	0.738233982
422	0.7379330297
423	0.737792583
424	0.7376780458
425	0.7375040442
426	0.7372466816
427	0.7371684898
428	0.7370369097
429	0.7367251246
430	0.7364601957
431	0.736378833
432	0.7362364016
433	0.7360147709
434	0.7359403125
435	0.7357001038
436	0.7355063575
437	0.7353607787
438	0.7351017374
439	0.7349361875
440	0.7345948049
441	0.7344445265
442	0.7343165387
443	0.7340218913
444	0.7336912975
445	0.7335363776
446	0.7331896916
447	0.7330234154
448	0.7328793537
449	0.7326638177
450	0.7323191864
451	0.7322068005
452	0.7320797957
453	0.7319969828
454	0.7318153827
455	0.7314578114
456	0.7312008994
457	0.7310343282
458	0.7308361
459	0.7306543153
460	0.7303986122
461	0.7301717025
462	0.7299646661
463	0.7297004952
464	0.7295106267
465	0.7292666354
466	0.7291650536
467	0.7289777802
468	0.7288710858
469	0.728694098
470	0.7285989972
471	0.7284925639
472	0.7283376325
473	0.7282421633
474	0.7281523734
475	0.7278304011
476	0.727708738
477	0.7276157723
478	0.7274901962
479	0.7273760339
480	0.727181162
481	0.7268631686
482	0.7267313008
483	0.7265668637
484	0.7264308068
485	0.7259415321
486	0.7257428251
487	0.725627084
488	0.7255234147
489	0.7253713781
490	0.7251321282
491	0.7250355833
492	0.7248129971
493	0.7246597679
494	0.7245560591
495	0.7243894788
496	0.724194663
497	0.724144153
498	0.7238348731
499	0.7235579551
500	0.7234148178
501	0.7233595141
502	0.7231443986
503	0.7229005049
504	0.7227075386
505	0.7224744945
506	0.7222607813
507	0.7221161999
508	0.7220533869
509	0.7218672653
510	0.7216463586
511	0.721399667
512	0.7212355907
513	0.7210182097
514	0.7207143342
515	0.7205977925
516	0.7204213412
517	0.7202872902
518	0.7201622843
519	0.7199589679
520	0.7197534403
521	0.7196663163
522	0.71956566
523	0.7193904198
524	0.7192565133
525	0.7191498655
526	0.7189626603
527	0.7187694491
528	0.7185728239
529	0.7183804338
530	0.7182014305
531	0.7180034532
532	0.7178444018
533	0.7176900333
534	0.7174293425
535	0.7172705052
536	0.717004856
537	0.7168144058
538	0.7166788249
539	0.716553132
540	0.7164117219
541	0.716300672
542	0.7161991047
543	0.7159833237
544	0.71579931
545	0.7156769975
546	0.7153577081
547	0.7151902596
548	0.7150091731
549	0.7148703848
550	0.7147330486
551	0.7146177088
552	0.7145228287
553	0.7144278849
554	0.7142823377
555	0.7141528266
556	0.7139152595
557	0.7137932175
558	0.7136512539
559	0.713530138
560	0.7133923035
561	0.7132591858
562	0.7129769751
563	0.7127763625
564	0.7126586973
565	0.7123543564
566	0.7121104538
567	0.7119181598
568	0.7118236604
569	0.7117382754
570	0.7114664244
571	0.7113284721
572	0.7112593328
573	0.7111344033
574	0.7108802856
575	0.7107661596
576	0.710570365
577	0.7103311965
578	0.7102502363
579	0.7099919909
580	0.709810832
581	0.7096951697
582	0.7094105423
583	0.7090793108
584	0.7089140564
585	0.7087315369
586	0.7086240424
587	0.7083873934
588	0.7081234349
589	0.7080031563
590	0.7078294425
591	0.7077064866
592	0.707511645
593	0.7073045496
594	0.7071380894
595	0.7068439152
596	0.7066672479
597	0.7064470359
598	0.7061629728
599	0.7060960945
600	0.7059260518
601	0.7058695424
602	0.70551561
603	0.7054091582
604	0.7053050688
605	0.7050982472
606	0.7050065104
607	0.7047860799
608	0.7046563827
609	0.7045344434
610	0.7043479765
611	0.7042204979
612	0.7040710314
613	0.7038016441
614	0.7036886952
615	0.703560436
616	0.7033732312
617	0.7031866519
618	0.7030484048
619	0.702899894
620	0.7027355653
621	0.7025870015
622	0.7024794215
623	0.702336579
624	0.7021244272
625	0.7018455148
626	0.7017242709
627	0.7016179443
628	0.701455979
629	0.7013628953
630	0.7012365358
631	0.7011611502
632	0.7010218732
633	0.7009242643
634	0.7008194294
635	0.7005346806
636	0.7003201931
637	0.700233687
638	0.6999549217
639	0.699818616
640	0.6996997159
641	0.6993910978
642	0.699235387
643	0.699174193
644	0.6990980981
645	0.6989805674
646	0.6988555831
647	0.6987074681
648	0.6985828457
649	0.6984555301
650	0.6983184539
651	0.6982035222
652	0.6981437185
653	0.6980602126
654	0.6979406834
655	0.6977475595
656	0.6975091819
657	0.697351422
658	0.6971535631
659	0.6970283988
660	0.696902325
661	0.6967064321
662	0.6965712966
663	0.6962873285
664	0.6960662042
665	0.6959284137
666	0.6958326524
667	0.6955644304
668	0.6954136912
669	0.6952103527
670	0.6950369736
671	0.6948373023
672	0.6946063069
673	0.6945537508
674	0.6944058085
675	0.6942965848
676	0.6941397034
677	0.6940515287
678	0.6938728234
679	0.6937938273
680	0.6937391698
681	0.6935800868
682	0.6933401565
683	0.6931189864
684	0.6930265986
685	0.6929441406
686	0.6928557668
687	0.6926423641
688	0.6925134623
689	0.6923600243
690	0.6921651703
691	0.6920149172
692	0.6918754643
693	0.691774683
694	0.6915539785
695	0.6914826386
696	0.6913174956
697	0.6912639101
698	0.6910985853
699	0.6908939809
700	0.6906791056
701	0.6905179312
702	0.6904695629
703	0.6902161453
704	0.6901620891
705	0.6900466603
706	0.68989861
707	0.6897845958
708	0.6896194055
709	0.6894052665
710	0.6892170245
711	0.6890805001
712	0.6889872199
713	0.6888434744
714	0.6887202743
715	0.6885622595
716	0.6884769884
717	0.6882854257
718	0.6881431716
719	0.6880195003
720	0.687897303
721	0.6878279778
722	0.6877203103
723	0.6876448769
724	0.6874379391
725	0.6872884709
726	0.6871616614
727	0.6870710603
728	0.6869030685
729	0.686782674
730	0.6865022085
731	0.6863862554
732	0.6862764579
733	0.6862389385
734	0.6861259808
735	0.6860029667
736	0.6858493225
737	0.6857982051
738	0.6856566775
739	0.6855669397
740	0.6853836467
741	0.6852618664
742	0.6850824197
743	0.6848204162
744	0.6846453996
745	0.6845663934
746	0.6843534216
747	0.6842792786
748	0.6841657326
749	0.6839919287
750	0.6838345277
751	0.68372045
752	0.6835043241
753	0.6833846868
754	0.6832383348
755	0.6831739501
756	0.6829951164
757	0.6829306873
758	0.6827913428
759	0.6826571207
760	0.6825554312
761	0.6824252479
762	0.6822671309
763	0.6821930964
764	0.6820521621
765	0.6818157631
766	0.6815857102
767	0.6814883293
768	0.6814604998
769	0.6812915232
770	0.6811285401
771	0.6810967517
772	0.6809859169
773	0.6808606164
774	0.6807609419
775	0.6806990988
776	0.6805830621
777	0.6804328468
778	0.6803245044
779	0.6802036687
780	0.6799681736
781	0.6799193603
782	0.6797721463
783	0.6796464357
784	0.6793965755
785	0.6792457452
786	0.6791401936
787	0.6790701047
788	0.6788712341
789	0.678584595
790	0.6785251269
791	0.6784240582
792	0.6782326261
793	0.6781304978
794	0.6778824935
795	0.6778055224
796	0.6776563319
797	0.6775534052
798	0.6774291935
799	0.6772877373
800	0.6771741523
801	0.676881974
802	0.6768037958
803	0.67669209
804	0.6765672016
805	0.6763980873
806	0.6762354483
807	0.6760171963
808	0.6758847581
809	0.6757531948
810	0.6755984997
811	0.6754702649
812	0.6753143454
813	0.6752077902
814	0.6751399882
815	0.6750575097
816	0.6748726039
817	0.674661598
818	0.674497693
819	0.6744417088
820	0.6743356026
821	0.6742469244
822	0.6740436249
823	0.6739400881
824	0.6738321058
825	0.6737896622
826	0.6737297182
827	0.6736353653
828	0.6735327069
829	0.6732342327
830	0.6730316795
831	0.6729226585
832	0.6727950518
833	0.6726643086
834	0.6726058214
835	0.6725046246
836	0.6723223987
837	0.6721997825
838	0.672121355
839	0.6719795206
840	0.6718909877
841	0.6718310032
842	0.6716232524
843	0.6714777287
844	0.671375953
845	0.671344518
846	0.6712229599
847	0.6711299649
848	0.6709225909
849	0.6708134041
850	0.6707107238
851	0.670603813
852	0.6704784193
853	0.670334627
854	0.6701540218
855	0.6700803552
856	0.6700143745
857	0.6699441086
858	0.6697551926
859	0.6696168025
860	0.6693708111
861	0.6691863615
862	0.6690525487
863	0.6689513188
864	0.6687929938
865	0.6687458841
866	0.6685758949
867	0.6684679931
868	0.6682229206
869	0.6680659729
870	0.6678915579
871	0.6677125425
872	0.6676185325
873	0.667508793
874	0.6674424028
875	0.6672580816
876	0.6669990394
877	0.6668283239
878	0.6667310477
879	0.6666317429
880	0.6664636755
881	0.6662808656
882	0.6661686219
883	0.6659606748
884	0.6657485092
885	0.665617103
886	0.6655648616
887	0.66538217
888	0.6652759606
889	0.6651370609
890	0.6649711527
891	0.6647796475
892	0.6647250502
893	0.6645813674
894	0.6643755183
895	0.6643066428
896	0.6642779306
897	0.6641203494
898	0.664030689
899	0.6639018303
900	0.6637629413
901	0.6636051449
902	0.6635130754
903	0.6633186571
904	0.6632364983
905	0.6631395008
906	0.6629151198
907	0.6628202977
908	0.6627438913
909	0.6626578537
910	0.6625838293
911	0.6624664754
912	0.66225273
913	0.6621589671
914	0.662056214
915	0.6619170429
916	0.6617435312
917	0.6616394782
918	0.6614339672
919	0.6613029332
920	0.6611354426
921	0.6609946535
922	0.6608702595
923	0.6607932509
924	0.6606396459
925	0.6605726517
926	0.6605400918
927	0.6603506157
928	0.6602011961
929	0.6601167709
930	0.6599620154
931	0.6598469589
932	0.6597335019
933	0.6596958735
934	0.6595906037
935	0.6595215678
936	0.6594791549
937	0.6593287572
938	0.6592736829
939	0.659172525
940	0.6590048226
941	0.6589353889
942	0.6587903839
943	0.6586138714
944	0.658544334
945	0.6584521302
946	0.6584097814
947	0.6582960861
948	0.6582296405
949	0.6580482883
950	0.6579871575
951	0.6577841039
952	0.6576770246
953	0.6574958696
954	0.6573277112
955	0.6572325426
956	0.6571311947
957	0.6569813367
958	0.6568218041
959	0.6566606775
960	0.6565514087
961	0.6564358451
962	0.6562301185
963	0.6560767159
964	0.655935735
965	0.6557978169
966	0.6556840535
967	0.6553985603
968	0.6553436547
969	0.6552026399
970	0.6551630618
971	0.6550378077
972	0.6549225638
973	0.6547719145
974	0.6547235412
975	0.6545997724
976	0.6544609091
977	0.6543851618
978	0.6542304743
979	0.6541110675
980	0.6539913818
981	0.6538958002
982	0.6537968205
983	0.6536725803
984	0.6534712178
985	0.6533989414
986	0.653293175
987	0.6531879636
988	0.6530989
989	0.6529749528
990	0.6528862942
991	0.6527189488
992	0.6526255924
993	0.6525282493
994	0.6524489819
995	0.6523021515
996	0.6521953389
997	0.6520310643
998	0.6519226337
999	0.6518363759
