iter	Passed	Remaining
192	1108	4635
193	1114	4629
194	1120	4623
195	1123	4610
196	1127	4594
197	1141	4624
198	1153	4643
199	1157	4628
200	1161	4615
201	1166	4608
202	1171	4597
203	1177	4594
204	1181	4582
205	1186	4574
206	1191	4562
207	1194	4549
208	1201	4546
209	1209	4551
210	1218	4555
211	1222	4543
212	1226	4533
213	1231	4522
214	1237	4517
215	1246	4523
216	1250	4512
217	1256	4508
218	1260	4495
219	1265	4486
220	1272	4485
221	1286	4509
222	1290	4497
223	1296	4491
224	1303	4490
225	1307	4478
226	1311	4467
227	1319	4469
228	1323	4457
229	1331	4457
230	1336	4450
231	1340	4438
232	1352	4451
233	1356	4442
234	1360	4429
235	1388	4494
236	1393	4485
237	1400	4483
238	1407	4481
239	1415	4480
240	1419	4470
241	1423	4459
242	1428	4448
243	1437	4452
244	1450	4468
245	1454	4457
246	1458	4446
247	1462	4433
248	1475	4450
249	1479	4437
250	1484	4431
251	1488	4418
252	1498	4424
253	1506	4423
254	1511	4414
255	1515	4403
256	1519	4393
257	1524	4384
258	1529	4375
259	1534	4367
260	1539	4359
261	1544	4351
262	1548	4338
263	1554	4332
264	1565	4343
265	1570	4332
266	1575	4324
267	1581	4320
268	1585	4308
269	1589	4298
270	1595	4290
271	1600	4283
272	1614	4299
273	1618	4289
274	1622	4278
275	1626	4266
276	1632	4259
277	1636	4250
278	1643	4247
279	1649	4242
280	1653	4231
281	1657	4220
282	1662	4212
283	1667	4205
284	1672	4196
285	1679	4193
286	1684	4183
287	1689	4175
288	1694	4168
289	1699	4161
290	1713	4175
291	1717	4164
292	1725	4162
293	1734	4164
294	1747	4175
295	1751	4164
296	1759	4163
297	1764	4157
298	1770	4151
299	1780	4153
300	1784	4144
301	1790	4137
302	1796	4132
303	1801	4124
304	1812	4130
305	1816	4119
306	1820	4110
307	1824	4100
308	1831	4095
309	1838	4092
310	1846	4091
311	1850	4080
312	1856	4074
313	1872	4091
314	1882	4092
315	1891	4094
316	1896	4086
317	1904	4083
318	1908	4073
319	1915	4070
320	1919	4060
321	1924	4053
322	1929	4044
323	1934	4035
324	1942	4033
325	1948	4028
326	1953	4019
327	1957	4010
328	1968	4013
329	1977	4014
330	1981	4004
331	1985	3995
332	1989	3984
333	1994	3977
334	2007	3984
335	2012	3976
336	2016	3966
337	2021	3958
338	2029	3957
339	2042	3964
340	2046	3954
341	2051	3947
342	2055	3937
343	2059	3927
344	2064	3919
345	2071	3914
346	2074	3904
347	2078	3894
348	2086	3892
349	2093	3887
350	2097	3877
351	2102	3870
352	2111	3869
353	2119	3867
354	2125	3861
355	2132	3857
356	2139	3852
357	2144	3846
358	2150	3839
359	2155	3831
360	2171	3843
361	2175	3833
362	2179	3823
363	2185	3818
364	2191	3812
365	2203	3817
366	2208	3809
367	2212	3800
368	2216	3790
369	2223	3785
370	2229	3779
371	2237	3776
372	2242	3768
373	2250	3767
374	2254	3757
375	2259	3750
376	2264	3742
377	2270	3736
378	2277	3731
379	2284	3727
380	2288	3718
381	2294	3712
382	2303	3710
383	2307	3701
384	2312	3693
385	2317	3685
386	2321	3677
387	2328	3672
388	2332	3663
389	2339	3658
390	2357	3672
391	2363	3665
392	2368	3657
393	2371	3648
394	2376	3639
395	2383	3634
396	2391	3632
397	2402	3634
398	2407	3626
399	2411	3616
400	2420	3615
401	2429	3614
402	2434	3607
403	2442	3602
404	2446	3594
405	2451	3586
406	2455	3577
407	2462	3573
408	2466	3564
409	2474	3560
410	2479	3553
411	2483	3544
412	2489	3538
413	2497	3534
414	2501	3526
415	2505	3517
416	2512	3512
417	2518	3506
418	2522	3497
419	2530	3494
420	2544	3500
421	2548	3491
422	2552	3482
423	2557	3474
424	2571	3478
425	2575	3470
426	2579	3461
427	2583	3452
428	2597	3456
429	2603	3450
430	2607	3442
431	2611	3433
432	2616	3426
433	2621	3418
434	2628	3414
435	2634	3407
436	2643	3405
437	2647	3397
438	2652	3389
439	2660	3385
440	2666	3379
441	2671	3372
442	2679	3368
443	2683	3360
444	2688	3353
445	2694	3347
446	2701	3342
447	2709	3338
448	2713	3330
449	2717	3321
450	2733	3327
451	2738	3319
452	2744	3313
453	2747	3304
454	2751	3295
455	2760	3293
456	2771	3293
457	2775	3284
458	2779	3276
459	2783	3267
460	2793	3266
461	2797	3257
462	2802	3250
463	2806	3242
464	2811	3234
465	2815	3226
466	2823	3222
467	2829	3216
468	2835	3210
469	2840	3203
470	2844	3194
471	2848	3186
472	2854	3180
473	2861	3175
474	2866	3168
475	2872	3161
476	2876	3153
477	2881	3146
478	2891	3144
479	2898	3140
480	2903	3132
481	2907	3124
482	2913	3118
483	2924	3117
484	2932	3113
485	2936	3105
486	2940	3098
487	2946	3091
488	2950	3083
489	2961	3082
490	2972	3081
491	2978	3075
492	2986	3071
493	2993	3066
494	2999	3059
495	3007	3055
496	3011	3047
497	3016	3040
498	3024	3036
499	3032	3032
500	3038	3026
501	3042	3018
502	3046	3010
503	3053	3005
504	3062	3001
505	3077	3004
506	3081	2996
507	3087	2990
508	3091	2982
509	3096	2974
510	3102	2969
511	3108	2962
512	3112	2955
513	3119	2949
514	3127	2945
515	3134	2940
516	3138	2931
517	3142	2923
518	3158	2926
519	3163	2919
520	3169	2913
521	3173	2905
522	3177	2898
523	3181	2890
524	3187	2883
525	3193	2877
526	3199	2871
527	3204	2865
528	3209	2857
529	3216	2852
530	3224	2848
531	3228	2840
532	3235	2834
533	3240	2827
534	3244	2819
535	3256	2819
536	3266	2816
537	3270	2808
538	3274	2800
539	3279	2794
540	3285	2787
541	3290	2780
542	3301	2778
543	3306	2771
544	3312	2765
545	3318	2759
546	3331	2759
547	3335	2751
548	3339	2743
549	3344	2736
550	3358	2736
551	3368	2733
552	3371	2725
553	3375	2717
554	3387	2716
555	3401	2716
556	3405	2708
557	3411	2702
558	3418	2696
559	3428	2693
560	3433	2686
561	3437	2678
562	3442	2672
563	3446	2664
564	3455	2660
565	3462	2654
566	3466	2647
567	3471	2640
568	3476	2633
569	3481	2626
570	3486	2619
571	3491	2612
572	3503	2610
573	3509	2604
574	3513	2597
575	3521	2592
576	3535	2592
577	3539	2584
578	3543	2576
579	3548	2569
580	3552	2562
581	3566	2561
582	3570	2553
583	3575	2547
584	3580	2540
585	3584	2532
586	3588	2525
587	3594	2518
588	3602	2513
589	3606	2505
590	3609	2498
591	3618	2494
592	3623	2487
593	3629	2480
594	3633	2473
595	3643	2469
596	3648	2462
597	3652	2455
598	3659	2449
599	3664	2442
600	3668	2435
601	3673	2428
602	3682	2424
603	3687	2417
604	3692	2410
605	3697	2404
606	3702	2396
607	3708	2391
608	3714	2384
609	3719	2378
610	3727	2373
611	3731	2365
612	3735	2358
613	3741	2352
614	3744	2344
615	3750	2338
616	3764	2336
617	3768	2329
618	3774	2323
619	3786	2320
620	3789	2312
621	3794	2306
622	3798	2298
623	3805	2293
624	3810	2286
625	3817	2280
626	3825	2275
627	3829	2268
628	3833	2260
629	3837	2254
630	3842	2247
631	3847	2240
632	3852	2233
633	3860	2228
634	3864	2221
635	3869	2214
636	3875	2208
637	3879	2201
638	3884	2194
639	3891	2189
640	3897	2182
641	3903	2176
642	3907	2169
643	3910	2161
644	3914	2154
645	3920	2148
646	3928	2143
647	3939	2139
648	3945	2133
649	3949	2126
650	3954	2119
651	3959	2113
652	3964	2106
653	3969	2099
654	3977	2094
655	3980	2087
656	3986	2081
657	3995	2076
658	4003	2071
659	4007	2064
660	4011	2057
661	4016	2050
662	4021	2044
663	4035	2042
664	4041	2035
665	4045	2028
666	4054	2024
667	4059	2017
668	4066	2011
669	4070	2004
670	4075	1998
671	4080	1991
672	4084	1984
673	4090	1978
674	4095	1971
675	4100	1965
676	4104	1958
677	4110	1952
678	4114	1945
679	4118	1938
680	4122	1931
681	4127	1924
682	4131	1917
683	4141	1913
684	4149	1908
685	4157	1903
686	4162	1896
687	4166	1889
688	4173	1883
689	4176	1876
690	4180	1869
691	4184	1862
692	4192	1857
693	4197	1850
694	4203	1844
695	4209	1838
696	4226	1837
697	4231	1830
698	4237	1824
699	4242	1818
700	4248	1812
701	4253	1805
702	4257	1798
703	4267	1794
704	4279	1790
705	4283	1783
706	4293	1779
707	4297	1772
708	4302	1765
709	4309	1760
710	4318	1755
711	4322	1748
712	4326	1741
713	4330	1734
714	4335	1728
715	4340	1721
716	4346	1715
717	4352	1709
718	4357	1703
719	4363	1697
720	4368	1690
721	4374	1684
722	4382	1678
723	4386	1672
724	4390	1665
725	4397	1659
726	4401	1652
727	4405	1646
728	4410	1639
729	4416	1633
730	4425	1628
731	4430	1622
732	4435	1615
733	4444	1610
734	4448	1603
735	4453	1597
736	4457	1590
737	4463	1584
738	4468	1578
739	4472	1571
740	4478	1565
741	4486	1560
742	4490	1553
743	4496	1547
744	4500	1540
745	4516	1537
746	4523	1531
747	4527	1525
748	4532	1519
749	4537	1512
750	4543	1506
751	4553	1501
752	4558	1495
753	4562	1488
754	4566	1481
755	4571	1475
756	4576	1468
757	4579	1462
758	4584	1455
759	4590	1449
760	4597	1443
761	4606	1438
762	4612	1432
763	4616	1426
764	4620	1419
765	4626	1413
766	4631	1406
767	4634	1400
768	4645	1395
769	4651	1389
770	4655	1382
771	4658	1375
772	4662	1369
773	4668	1363
774	4673	1356
775	4681	1351
776	4686	1344
777	4693	1339
778	4698	1332
779	4702	1326
780	4711	1321
781	4718	1315
782	4724	1309
783	4728	1302
784	4735	1297
785	4741	1290
786	4748	1285
787	4753	1278
788	4758	1272
789	4762	1265
790	4766	1259
791	4772	1253
792	4783	1248
793	4789	1242
794	4793	1236
795	4800	1230
796	4806	1224
797	4811	1217
798	4816	1211
799	4822	1205
800	4827	1199
801	4831	1192
802	4837	1186
803	4841	1180
804	4845	1173
805	4853	1168
806	4858	1161
807	4862	1155
808	4869	1149
809	4879	1144
810	4886	1138
811	4890	1132
812	4894	1125
813	4898	1119
814	4907	1113
815	4917	1108
816	4923	1102
817	4927	1096
818	4936	1091
819	4941	1084
820	4947	1078
821	4951	1072
822	4955	1065
823	4959	1059
824	4970	1054
825	4979	1048
826	4984	1042
827	4988	1036
828	4992	1029
829	4997	1023
830	5004	1017
831	5008	1011
832	5019	1006
833	5025	1000
834	5029	993
835	5039	988
836	5044	982
837	5048	976
838	5056	970
839	5061	964
840	5065	957
841	5070	951
842	5076	945
843	5085	939
844	5088	933
845	5092	927
846	5098	921
847	5103	914
848	5108	908
849	5113	902
850	5117	896
851	5123	889
852	5127	883
853	5133	877
854	5141	871
855	5152	866
856	5156	860
857	5161	854
858	5168	848
859	5174	842
860	5181	836
861	5185	830
862	5190	823
863	5194	817
864	5202	811
865	5208	805
866	5215	800
867	5220	793
868	5224	787
869	5234	782
870	5241	776
871	5246	770
872	5251	763
873	5256	757
874	5261	751
875	5266	745
876	5272	739
877	5280	733
878	5284	727
879	5290	721
880	5294	715
881	5302	709
882	5306	703
883	5311	696
884	5315	690
885	5319	684
886	5323	678
887	5327	671
888	5334	666
889	5351	661
890	5355	655
891	5361	649
892	5369	643
893	5374	637
894	5380	631
895	5384	625
896	5390	618
897	5398	613
898	5404	607
899	5411	601
900	5418	595
901	5423	589
902	5436	584
903	5441	577
904	5446	571
905	5450	565
906	5454	559
907	5458	553
908	5462	546
909	5469	540
910	5473	534
911	5480	528
912	5484	522
913	5489	516
914	5495	510
915	5500	504
916	5506	498
917	5512	492
918	5517	486
919	5521	480
920	5540	475
921	5547	469
922	5552	463
923	5558	457
924	5563	451
925	5569	445
926	5581	439
927	5585	433
928	5589	427
929	5594	421
930	5599	414
931	5604	408
932	5613	403
933	5617	396
934	5623	390
935	5629	384
936	5634	378
937	5640	372
938	5647	366
939	5651	360
940	5655	354
941	5664	348
942	5669	342
943	5678	336
944	5684	330
945	5692	324
946	5697	318
947	5702	312
948	5710	306
949	5714	300
950	5718	294
951	5725	288
952	5731	282
953	5736	276
954	5743	270
955	5747	264
956	5751	258
957	5756	252
958	5760	246
959	5766	240
960	5773	234
961	5777	228
962	5781	222
963	5786	216
964	5790	210
965	5796	204
966	5803	198
967	5810	192
968	5815	186
969	5821	180
970	5826	174
971	5831	167
972	5836	161
973	5844	156
974	5849	149
975	5854	143
976	5862	138
977	5873	132
978	5878	126
979	5883	120
980	5890	114
981	5895	108
982	5901	102
983	5905	96
984	5910	90
985	5913	83
986	5924	78
987	5929	72
988	5941	66
989	5945	60
990	5950	54
991	5954	48
992	5958	42
993	5967	36
994	5971	30
995	5976	24
996	5980	17
997	5988	12
998	5993	5
999	6007	0
