iter	MAE
350	41.5615222
351	41.52490845
352	41.45600933
353	41.38387362
354	41.31505192
355	41.25481403
356	41.20212878
357	41.11212154
358	41.06853969
359	40.93577769
360	40.89912438
361	40.8152106
362	40.78885533
363	40.75324002
364	40.73495728
365	40.69802801
366	40.63996165
367	40.6044566
368	40.53979926
369	40.41511221
370	40.40919203
371	40.34571233
372	40.3194788
373	40.31771663
374	40.29706457
375	40.11879072
376	40.079898
377	40.02159663
378	39.94315783
379	39.92089489
380	39.84849385
381	39.70059093
382	39.6621137
383	39.53147514
384	39.41649636
385	39.38874965
386	39.30464751
387	39.2472292
388	39.1712297
389	39.14453901
390	39.10957147
391	39.08051817
392	39.03542006
393	38.84761347
394	38.71201186
395	38.65092395
396	38.61450388
397	38.50529017
398	38.4225625
399	38.33730431
400	38.23449478
401	38.17090413
402	38.13098324
403	38.06641727
404	38.03577962
405	37.92438832
406	37.88926469
407	37.88363651
408	37.83856778
409	37.67253677
410	37.64214873
411	37.60972195
412	37.56923733
413	37.42390391
414	37.40425434
415	37.36251457
416	37.27141641
417	37.25579645
418	37.12063412
419	37.09436551
420	37.08115879
421	37.05173756
422	37.04110353
423	36.94887515
424	36.87126917
425	36.76709033
426	36.73746064
427	36.72567298
428	36.67232603
429	36.5079436
430	36.49753641
431	36.44193518
432	36.34793154
433	36.30211597
434	36.22316814
435	36.21300771
436	36.18632504
437	36.11934079
438	36.05001532
439	35.9831965
440	35.95690807
441	35.85775461
442	35.7775873
443	35.66390758
444	35.62974547
445	35.59195111
446	35.48925799
447	35.45125927
448	35.4143463
449	35.37899724
450	35.32784338
451	35.30951495
452	35.20465828
453	35.18845057
454	35.10366033
455	35.0989688
456	34.98510068
457	34.90442988
458	34.87064485
459	34.78184896
460	34.72049494
461	34.69989379
462	34.62988363
463	34.56338471
464	34.50592675
465	34.49343276
466	34.46134661
467	34.44019507
468	34.39164071
469	34.35342693
470	34.29554145
471	34.26568002
472	34.21992365
473	34.13993253
474	34.13188979
475	34.11011767
476	34.06081722
477	34.05308846
478	33.90080831
479	33.88327766
480	33.87479582
481	33.81233488
482	33.77381569
483	33.74966942
484	33.59636401
485	33.55563962
486	33.54650208
487	33.48773076
488	33.47490985
489	33.46495271
490	33.2997406
491	33.23865635
492	33.20139369
493	33.16914109
494	33.12007361
495	33.10152067
496	33.06604557
497	33.05799937
498	33.04041098
499	32.93119735
